Ddate,Market,Product,Sales,Profit,Expenses
5/1/15,West,Decaf Irish Cream,174,57,60
8/1/14,West,Chamomile,109,20,53
11/1/15,West,Decaf Irish Cream,112,-8,70
1/1/15,West,Decaf Espresso,214,61,68
12/1/14,South,Decaf Irish Cream,487,206,96
12/1/14,Central,Caffe Mocha,289,135,69
4/1/14,East,Lemon,257,107,53
3/1/15,West,Decaf Irish Cream,255,62,82
5/1/14,East,Decaf Irish Cream,137,25,57
4/1/15,West,Darjeeling,231,151,55
3/1/15,South,Caffe Latte,92,44,17
3/1/14,West,Decaf Espresso,96,23,31
4/1/14,South,Decaf Espresso,136,-5,79
1/1/15,East,Caffe Mocha,117,-11,55
2/1/15,East,Decaf Irish Cream,247,103,49
7/1/15,Central,Chamomile,48,26,28
2/1/14,West,Chamomile,194,85,59
9/1/14,East,Chamomile,91,-7,30
11/1/14,West,Darjeeling,76,25,37
10/1/15,South,Decaf Irish Cream,218,143,59
8/1/15,Central,Chamomile,70,22,19
5/1/15,Central,Decaf Irish Cream,142,51,38
8/1/15,East,Decaf Irish Cream,215,67,65
8/1/15,Central,Lemon,684,229,109
2/1/14,West,Lemon,105,-25,57
2/1/14,South,Decaf Irish Cream,140,44,45
2/1/14,South,Decaf Irish Cream,256,116,91
5/1/14,East,Darjeeling,97,30,34
5/1/15,Central,Mint,529,157,101
12/1/14,West,Decaf Espresso,129,66,43
11/1/14,South,Caffe Mocha,283,125,62
3/1/15,Central,Decaf Irish Cream,222,143,84
3/1/15,East,Decaf Irish Cream,334,423,55
1/1/14,Central,Decaf Irish Cream,134,22,40
9/1/15,East,Darjeeling,314,115,95
9/1/15,West,Mint,176,59,49
12/1/14,East,Caffe Mocha,123,-164,61
10/1/14,West,Darjeeling,187,76,64
10/1/14,East,Decaf Irish Cream,282,100,61
5/1/14,Central,Decaf Irish Cream,115,27,36
10/1/14,South,Decaf Irish Cream,65,18,18
12/1/14,Central,Chamomile,82,25,40
5/1/15,South,Decaf Irish Cream,79,34,20
3/1/15,West,Darjeeling,250,151,41
8/1/15,East,Decaf Irish Cream,328,74,67
5/1/14,West,Darjeeling,103,20,41
10/1/15,West,Chamomile,91,41,23
1/1/15,Central,Decaf Irish Cream,212,98,38
4/1/14,South,Decaf Espresso,182,34,45
8/1/14,West,Decaf Irish Cream,145,36,64
10/1/14,South,Chamomile,99,7,23
12/1/14,East,Lemon,99,33,42
1/1/14,South,Colombian,307,156,116
1/1/14,East,Decaf Irish Cream,188,73,101
10/1/15,Central,Chamomile,648,190,95
7/1/14,East,Decaf Espresso,247,107,47
5/1/14,South,Lemon,126,20,37
12/1/15,East,Regular Espresso,598,165,130
4/1/14,Central,Decaf Espresso,64,14,25
5/1/15,Central,Decaf Irish Cream,52,16,17
9/1/14,West,Decaf Irish Cream,206,-3,126
5/1/15,Central,Chamomile,81,-24,82
2/1/14,South,Decaf Espresso,149,31,49
10/1/15,South,Decaf Irish Cream,321,172,134
9/1/15,Central,Chamomile,337,152,85
2/1/14,East,Decaf Irish Cream,273,32,60
4/1/14,East,Chamomile,132,5,48
9/1/15,East,Darjeeling,67,41,17
5/1/15,South,Decaf Irish Cream,94,32,19
10/1/14,East,Lemon,107,-8,46
1/1/14,East,Darjeeling,75,11,23
9/1/15,West,Decaf Espresso,73,33,33
11/1/14,East,Darjeeling,62,15,20
10/1/15,Central,Caffe Mocha,333,161,71
10/1/14,West,Darjeeling,104,10,37
7/1/14,Central,Decaf Irish Cream,125,52,33
3/1/14,South,Lemon,248,39,47
6/1/14,West,Decaf Irish Cream,210,59,59
4/1/15,Central,Darjeeling,207,107,37
11/1/14,West,Decaf Espresso,133,12,50
10/1/14,West,Darjeeling,305,157,41
1/1/14,West,Darjeeling,91,18,43
2/1/14,West,Mint,305,166,107
10/1/14,Central,Lemon,36,8,23
5/1/15,West,Chamomile,63,37,18
6/1/15,West,Chamomile,71,37,35
6/1/15,East,Decaf Irish Cream,477,346,85
8/1/14,West,Decaf Irish Cream,53,5,19
6/1/15,West,Caffe Mocha,502,284,85
10/1/14,West,Lemon,59,6,40
1/1/15,South,Decaf Irish Cream,187,51,54
11/1/14,West,Caffe Latte,90,25,24
8/1/14,West,Earl Grey,646,212,168
1/1/14,East,Mint,89,34,21
9/1/14,Central,Decaf Irish Cream,158,23,50
2/1/15,West,Darjeeling,141,-8,46
9/1/14,East,Chamomile,112,4,78
5/1/15,Central,Decaf Irish Cream,96,26,39
11/1/14,West,Decaf Irish Cream,75,22,21
9/1/15,South,Chamomile,259,79,39
12/1/15,South,Decaf Espresso,74,34,15
1/1/15,West,Chamomile,420,134,86
2/1/14,Central,Earl Grey,225,86,38
2/1/14,Central,Caffe Mocha,48,17,23
4/1/14,West,Darjeeling,194,59,36
9/1/15,East,Decaf Irish Cream,232,104,55
7/1/15,East,Colombian,587,297,130
5/1/15,West,Decaf Irish Cream,104,45,30
9/1/15,South,Chamomile,80,28,19
10/1/14,East,Darjeeling,50,-15,15
5/1/15,West,Decaf Irish Cream,64,42,28
11/1/14,East,Darjeeling,88,24,28
7/1/15,West,Lemon,281,110,54
8/1/14,West,Caffe Mocha,289,115,67
1/1/14,Central,Amaretto,240,59,41
12/1/14,West,Decaf Irish Cream,120,14,38
2/1/14,East,Mint,185,66,55
10/1/14,West,Chamomile,300,137,43
5/1/15,South,Decaf Irish Cream,179,69,45
12/1/14,East,Darjeeling,59,18,18
1/1/14,West,Decaf Irish Cream,162,-7,82
6/1/14,West,Darjeeling,530,178,93
4/1/15,Central,Chamomile,224,136,53
12/1/14,Central,Decaf Irish Cream,223,96,43
1/1/15,East,Decaf Irish Cream,239,76,60
2/1/14,West,Caffe Mocha,181,-6,108
11/1/14,West,Caffe Latte,63,16,20
8/1/14,West,Decaf Espresso,64,16,20
3/1/14,West,Decaf Espresso,143,46,47
9/1/15,East,Lemon,81,26,36
2/1/14,East,Lemon,220,73,59
7/1/14,West,Decaf Irish Cream,175,22,49
8/1/14,East,Lemon,259,89,60
7/1/14,South,Decaf Irish Cream,77,14,38
1/1/15,East,Darjeeling,67,41,33
10/1/14,East,Darjeeling,90,10,20
12/1/14,Central,Caffe Mocha,201,30,66
2/1/14,West,Decaf Irish Cream,76,37,24
5/1/14,South,Decaf Irish Cream,199,55,48
11/1/14,West,Caffe Mocha,85,29,23
2/1/15,West,Caffe Mocha,294,116,90
1/1/14,Central,Lemon,281,125,98
8/1/14,West,Decaf Espresso,605,213,94
1/1/15,West,Chamomile,459,70,54
5/1/15,West,Lemon,97,50,22
8/1/14,West,Caffe Latte,67,18,18
2/1/14,West,Decaf Espresso,52,28,19
2/1/14,Central,Decaf Irish Cream,206,86,36
1/1/15,East,Caffe Mocha,186,0,91
1/1/14,Central,Decaf Irish Cream,182,49,70
2/1/14,West,Lemon,115,43,29
4/1/14,Central,Lemon,112,36,42
7/1/15,West,Decaf Irish Cream,118,13,35
8/1/15,Central,Decaf Irish Cream,92,34,19
11/1/14,East,Mint,60,2,25
7/1/14,West,Lemon,198,29,58
2/1/14,West,Caffe Mocha,104,21,19
5/1/15,Central,Decaf Irish Cream,93,30,35
10/1/15,West,Chamomile,529,197,130
10/1/15,Central,Darjeeling,593,175,113
5/1/14,East,Decaf Espresso,188,37,53
7/1/14,Central,Lemon,138,15,44
7/1/14,Central,Decaf Irish Cream,137,31,41
2/1/15,East,Decaf Espresso,224,66,52
11/1/14,East,Decaf Espresso,122,32,20
2/1/14,West,Caffe Latte,147,25,64
2/1/14,Central,Amaretto,207,86,40
3/1/14,West,Darjeeling,94,-6,41
2/1/14,Central,Mint,236,117,100
3/1/14,East,Lemon,106,19,43
11/1/15,East,Darjeeling,74,18,23
5/1/14,East,Decaf Irish Cream,192,36,55
12/1/14,West,Caffe Mocha,578,195,132
8/1/15,Central,Colombian,686,226,96
9/1/15,West,Decaf Irish Cream,173,42,71
2/1/15,South,Caffe Mocha,175,89,44
3/1/14,South,Caffe Latte,136,52,33
4/1/14,South,Decaf Espresso,178,26,56
2/1/14,Central,Lemon,210,71,84
10/1/14,Central,Darjeeling,251,137,39
1/1/14,South,Decaf Espresso,132,33,47
2/1/14,Central,Earl Grey,299,111,85
1/1/14,East,Darjeeling,77,32,21
10/1/14,Central,Darjeeling,110,5,41
8/1/15,East,Decaf Irish Cream,685,520,161
2/1/14,West,Chamomile,124,33,21
5/1/15,South,Decaf Irish Cream,83,47,25
2/1/14,South,Decaf Irish Cream,214,64,58
5/1/14,Central,Decaf Irish Cream,126,0,49
8/1/15,East,Darjeeling,91,31,30
12/1/14,South,Decaf Espresso,197,19,63
3/1/15,West,Darjeeling,266,162,90
4/1/15,Central,Decaf Espresso,150,48,36
3/1/14,East,Caffe Mocha,216,83,48
2/1/14,Central,Chamomile,228,60,73
10/1/15,East,Decaf Espresso,335,112,58
1/1/15,West,Chamomile,309,45,110
8/1/15,Central,Darjeeling,70,44,11
2/1/14,South,Lemon,45,30,22
8/1/14,Central,Decaf Irish Cream,205,117,52
5/1/14,Central,Decaf Irish Cream,122,17,51
2/1/14,East,Decaf Irish Cream,210,81,55
12/1/14,Central,Decaf Irish Cream,96,9,38
10/1/15,South,Decaf Irish Cream,313,203,133
12/1/14,West,Decaf Irish Cream,102,20,36
5/1/15,Central,Lemon,60,32,23
3/1/14,West,Decaf Irish Cream,127,37,49
10/1/14,East,Decaf Irish Cream,301,108,61
3/1/14,East,Darjeeling,113,60,39
12/1/15,West,Darjeeling,76,20,33
2/1/14,Central,Caffe Mocha,111,42,27
2/1/14,Central,Decaf Irish Cream,109,18,22
12/1/15,West,Caffe Mocha,617,235,132
9/1/15,West,Darjeeling,139,93,36
10/1/15,West,Caffe Latte,582,239,114
8/1/15,West,Chamomile,75,27,18
2/1/15,West,Decaf Irish Cream,93,6,42
8/1/15,Central,Darjeeling,59,-18,41
10/1/14,East,Regular Espresso,72,-8,37
9/1/15,East,Darjeeling,108,32,37
8/1/14,West,Decaf Irish Cream,142,21,50
2/1/14,Central,Chamomile,160,46,38
4/1/14,Central,Amaretto,107,23,37
11/1/14,East,Darjeeling,75,13,27
2/1/14,Central,Decaf Espresso,110,36,24
7/1/14,East,Decaf Irish Cream,222,89,69
1/1/14,Central,Decaf Irish Cream,121,29,65
7/1/14,West,Decaf Irish Cream,64,6,42
6/1/14,West,Decaf Irish Cream,113,-10,71
7/1/15,South,Decaf Irish Cream,82,31,35
8/1/15,Central,Decaf Irish Cream,69,15,23
11/1/14,East,Darjeeling,72,39,24
3/1/14,West,Darjeeling,195,85,41
10/1/14,South,Decaf Irish Cream,190,21,66
12/1/14,West,Darjeeling,225,131,48
3/1/15,West,Decaf Irish Cream,135,3,99
1/1/14,Central,Chamomile,81,31,23
9/1/14,Central,Lemon,147,0,79
10/1/15,South,Decaf Irish Cream,226,89,38
10/1/14,East,Mint,160,11,55
2/1/14,West,Amaretto,113,13,23
2/1/15,Central,Decaf Irish Cream,240,157,60
5/1/15,Central,Decaf Irish Cream,57,42,19
8/1/15,East,Chamomile,101,36,33
10/1/14,East,Lemon,140,23,24
12/1/14,West,Chamomile,86,-1,38
2/1/14,West,Decaf Irish Cream,101,16,21
2/1/14,East,Decaf Irish Cream,515,185,126
10/1/15,East,Colombian,323,95,50
7/1/14,Central,Darjeeling,115,13,31
5/1/15,South,Decaf Irish Cream,51,36,17
11/1/14,Central,Darjeeling,123,14,42
2/1/15,Central,Lemon,218,79,44
8/1/15,East,Lemon,64,2,27
12/1/14,West,Lemon,494,231,141
8/1/14,West,Decaf Irish Cream,48,26,22
10/1/14,West,Lemon,275,109,53
10/1/14,West,Decaf Espresso,296,103,63
12/1/14,East,Lemon,106,17,46
3/1/14,West,Lemon,193,45,44
2/1/14,West,Decaf Irish Cream,111,32,55
8/1/15,Central,Decaf Irish Cream,55,12,17
12/1/14,Central,Chamomile,93,34,37
5/1/15,West,Caffe Mocha,57,28,17
3/1/15,Central,Decaf Irish Cream,295,182,40
5/1/14,Central,Decaf Irish Cream,119,18,37
3/1/15,East,Decaf Irish Cream,606,183,143
4/1/15,West,Mint,203,87,40
5/1/14,East,Darjeeling,125,22,45
1/1/15,Central,Decaf Irish Cream,156,47,38
10/1/14,East,Chamomile,120,-2,45
3/1/14,West,Decaf Irish Cream,175,4,67
2/1/14,Central,Mint,151,69,38
5/1/14,West,Decaf Espresso,147,41,42
10/1/14,South,Decaf Irish Cream,68,9,22
8/1/15,East,Darjeeling,59,5,17
8/1/14,West,Chamomile,27,6,18
1/1/15,South,Lemon,150,71,46
9/1/15,East,Chamomile,265,98,57
2/1/14,South,Decaf Espresso,200,57,51
8/1/15,West,Caffe Mocha,75,6,15
10/1/15,Central,Darjeeling,313,105,39
2/1/14,Central,Mint,225,115,40
4/1/15,Central,Decaf Espresso,200,96,51
9/1/15,East,Decaf Irish Cream,529,367,93
8/1/15,East,Darjeeling,78,16,15
7/1/14,West,Decaf Irish Cream,216,36,52
7/1/14,Central,Decaf Espresso,50,17,17
9/1/14,South,Lemon,94,30,39
8/1/14,Central,Decaf Irish Cream,176,43,52
5/1/15,West,Caffe Mocha,58,18,16
8/1/14,East,Caffe Mocha,129,13,50
1/1/14,East,Lemon,155,-8,59
1/1/15,West,Darjeeling,252,77,57
11/1/14,East,Decaf Espresso,76,1,43
1/1/15,South,Caffe Mocha,239,115,68
2/1/14,West,Decaf Espresso,114,33,46
3/1/15,East,Decaf Irish Cream,308,405,113
5/1/15,Central,Earl Grey,551,145,106
7/1/15,Central,Decaf Irish Cream,60,-3,26
10/1/14,Central,Lemon,31,-2,20
4/1/14,Central,Decaf Irish Cream,121,31,33
4/1/14,Central,Amaretto,103,26,36
2/1/14,West,Lemon,118,41,25
8/1/14,Central,Decaf Irish Cream,84,14,23
9/1/15,West,Chamomile,655,284,108
3/1/14,Central,Darjeeling,97,36,37
1/1/14,Central,Decaf Irish Cream,197,57,53
8/1/15,Central,Decaf Espresso,55,19,18
5/1/14,Central,Decaf Irish Cream,170,41,36
4/1/15,Central,Caffe Mocha,80,56,16
1/1/14,West,Decaf Espresso,97,14,22
10/1/14,Central,Darjeeling,305,123,64
5/1/14,South,Decaf Irish Cream,138,37,41
3/1/15,West,Lemon,358,105,121
10/1/14,West,Decaf Espresso,85,12,19
4/1/14,West,Darjeeling,189,4,48
5/1/14,South,Decaf Irish Cream,138,19,41
10/1/14,Central,Lemon,264,98,38
8/1/14,East,Mint,68,11,19
12/1/14,South,Caffe Latte,79,0,23
4/1/14,Central,Decaf Espresso,287,100,54
2/1/14,South,Caffe Latte,129,23,61
8/1/14,Central,Chamomile,92,15,35
7/1/14,South,Chamomile,59,21,17
1/1/15,Central,Decaf Irish Cream,237,74,40
2/1/14,West,Mint,312,88,95
8/1/14,West,Chamomile,78,16,20
4/1/14,West,Caffe Latte,136,4,77
11/1/14,West,Darjeeling,139,8,37
5/1/15,Central,Decaf Irish Cream,229,43,57
11/1/14,West,Caffe Latte,84,19,21
12/1/14,East,Decaf Espresso,126,31,25
10/1/14,South,Decaf Irish Cream,207,32,48
1/1/15,Central,Decaf Irish Cream,229,87,44
12/1/14,Central,Lemon,78,29,33
1/1/14,Central,Darjeeling,131,27,44
6/1/15,Central,Lemon,104,29,45
8/1/15,Central,Decaf Irish Cream,105,38,40
8/1/15,Central,Darjeeling,68,33,17
8/1/15,South,Chamomile,74,21,17
12/1/14,West,Caffe Mocha,267,84,66
1/1/14,Central,Chamomile,312,138,110
12/1/14,Central,Caffe Mocha,271,96,45
8/1/14,Central,Decaf Irish Cream,120,31,50
8/1/15,East,Chamomile,88,29,32
1/1/14,East,Decaf Irish Cream,303,296,120
7/1/14,West,Darjeeling,112,0,46
12/1/14,Central,Chamomile,220,52,52
4/1/14,West,Decaf Espresso,99,19,36
10/1/15,East,Decaf Irish Cream,232,103,108
5/1/14,West,Decaf Irish Cream,152,24,50
10/1/14,East,Darjeeling,30,-7,17
4/1/14,South,Decaf Espresso,75,-7,37
4/1/14,East,Mint,196,87,49
5/1/15,West,Decaf Irish Cream,148,42,37
12/1/14,West,Lemon,136,32,46
8/1/14,Central,Decaf Irish Cream,84,41,41
7/1/14,West,Chamomile,195,47,65
10/1/14,West,Darjeeling,296,155,103
7/1/15,East,Darjeeling,49,39,17
2/1/14,West,Darjeeling,225,71,38
2/1/14,West,Chamomile,110,45,23
5/1/14,Central,Decaf Irish Cream,129,16,53
2/1/14,South,Lemon,180,61,67
5/1/15,Central,Lemon,281,117,39
4/1/15,Central,Lemon,215,65,57
3/1/14,South,Lemon,194,42,49
8/1/14,West,Lemon,217,-115,154
5/1/14,South,Decaf Irish Cream,234,43,57
2/1/14,West,Darjeeling,181,67,36
5/1/14,South,Decaf Irish Cream,63,29,14
5/1/15,East,Lemon,554,215,113
9/1/15,West,Darjeeling,101,16,29
5/1/14,Central,Decaf Irish Cream,117,57,46
8/1/14,East,Darjeeling,156,27,46
8/1/14,West,Darjeeling,556,184,105
8/1/14,West,Darjeeling,231,121,43
5/1/15,Central,Decaf Irish Cream,194,48,38
1/1/15,Central,Lemon,354,160,92
1/1/14,Central,Decaf Irish Cream,119,5,60
11/1/14,West,Decaf Espresso,73,28,22
7/1/14,West,Decaf Irish Cream,104,62,50
9/1/15,West,Darjeeling,201,93,34
11/1/14,East,Decaf Espresso,123,61,41
9/1/14,Central,Decaf Irish Cream,95,7,41
2/1/14,West,Earl Grey,102,-5,37
2/1/14,East,Decaf Espresso,298,128,114
2/1/14,West,Decaf Irish Cream,176,49,44
1/1/14,East,Decaf Espresso,59,31,17
8/1/14,Central,Chamomile,327,180,72
5/1/15,Central,Decaf Irish Cream,115,35,43
3/1/14,West,Mint,272,106,44
10/1/14,South,Caffe Latte,213,117,58
1/1/14,Central,Decaf Irish Cream,207,85,31
4/1/14,South,Caffe Mocha,47,36,13
11/1/14,West,Darjeeling,192,94,40
10/1/14,Central,Darjeeling,164,91,39
9/1/14,West,Amaretto,150,-9,96
4/1/14,East,Darjeeling,120,-4,35
2/1/14,Central,Chamomile,325,130,38
5/1/15,South,Decaf Irish Cream,119,43,19
11/1/14,East,Chamomile,85,-4,49
2/1/15,South,Decaf Irish Cream,209,70,51
11/1/14,East,Darjeeling,69,19,23
5/1/14,South,Decaf Irish Cream,128,34,20
11/1/14,Central,Decaf Irish Cream,240,106,63
3/1/14,West,Darjeeling,39,-478,107
1/1/14,South,Caffe Mocha,124,11,43
10/1/14,West,Darjeeling,209,137,43
10/1/14,South,Decaf Irish Cream,173,41,56
9/1/15,Central,Lemon,284,188,122
11/1/15,Central,Darjeeling,545,205,90
2/1/14,Central,Lemon,208,110,33
12/1/14,West,Mint,253,147,52
2/1/14,West,Decaf Espresso,98,-13,42
9/1/15,East,Decaf Espresso,227,98,42
3/1/14,South,Lemon,169,37,63
2/1/15,West,Decaf Irish Cream,98,12,44
8/1/15,Central,Decaf Irish Cream,76,12,29
1/1/14,East,Darjeeling,93,49,27
2/1/15,West,Caffe Mocha,107,39,45
2/1/15,West,Decaf Irish Cream,96,1,40
9/1/15,East,Darjeeling,79,45,39
2/1/14,Central,Darjeeling,125,48,33
2/1/15,Central,Decaf Irish Cream,328,142,54
8/1/14,East,Lemon,131,19,59
2/1/15,South,Decaf Espresso,255,48,61
4/1/14,Central,Lemon,116,37,37
10/1/14,South,Caffe Latte,89,11,19
8/1/15,West,Darjeeling,287,163,63
12/1/14,West,Caffe Mocha,99,-1,44
12/1/14,Central,Chamomile,137,23,58
5/1/14,Central,Amaretto,87,1,42
11/1/14,West,Darjeeling,125,19,41
2/1/15,West,Decaf Irish Cream,118,24,43
7/1/14,South,Caffe Mocha,225,60,56
3/1/15,Central,Decaf Irish Cream,340,330,108
9/1/15,South,Decaf Irish Cream,61,24,30
7/1/14,West,Decaf Espresso,155,40,48
2/1/14,East,Darjeeling,56,38,31
10/1/14,South,Decaf Irish Cream,182,95,38
2/1/14,West,Decaf Espresso,42,21,17
3/1/14,South,Caffe Mocha,158,51,80
12/1/14,East,Chamomile,117,13,25
8/1/14,West,Chamomile,299,134,59
10/1/14,South,Caffe Mocha,58,34,23
4/1/14,West,Darjeeling,108,-4,40
8/1/14,East,Chamomile,82,2,42
8/1/14,Central,Chamomile,398,181,44
5/1/14,South,Decaf Irish Cream,150,23,40
7/1/14,Central,Decaf Irish Cream,80,7,17
3/1/14,South,Caffe Mocha,126,3,87
2/1/14,West,Lemon,57,35,26
5/1/15,Central,Decaf Irish Cream,84,32,18
9/1/15,Central,Mint,313,110,40
2/1/14,Central,Mint,229,117,41
4/1/14,Central,Darjeeling,131,23,32
2/1/14,Central,Darjeeling,226,93,35
5/1/15,West,Amaretto,110,31,37
10/1/14,West,Lemon,124,19,50
8/1/14,Central,Chamomile,87,7,18
9/1/15,Central,Decaf Espresso,309,138,59
12/1/14,Central,Caffe Mocha,106,34,42
9/1/15,West,Decaf Irish Cream,164,36,48
10/1/14,Central,Decaf Irish Cream,234,104,66
2/1/14,East,Decaf Irish Cream,133,35,44
2/1/15,West,Decaf Irish Cream,85,6,36
11/1/15,Central,Decaf Espresso,486,128,97
3/1/14,South,Caffe Mocha,126,9,104
12/1/15,West,Lemon,596,170,69
12/1/14,East,Darjeeling,121,23,43
11/1/14,West,Caffe Mocha,133,25,42
7/1/15,Central,Caffe Mocha,42,2,10
10/1/14,East,Decaf Espresso,113,39,47
1/1/14,Central,Decaf Irish Cream,138,-8,56
11/1/15,West,Decaf Irish Cream,64,27,25
4/1/14,East,Darjeeling,75,4,18
5/1/15,South,Caffe Mocha,97,47,25
10/1/14,South,Caffe Mocha,43,-10,18
2/1/14,Central,Decaf Espresso,108,37,23
2/1/14,East,Darjeeling,124,-3,37
6/1/15,East,Darjeeling,85,27,16
10/1/14,Central,Lemon,120,18,48
12/1/14,West,Decaf Espresso,206,78,52
1/1/15,West,Decaf Irish Cream,486,195,131
8/1/14,East,Mint,155,39,46
10/1/15,Central,Lemon,351,186,94
2/1/14,Central,Mint,134,-6,57
2/1/14,South,Chamomile,105,19,29
3/1/15,East,Decaf Irish Cream,339,130,120
1/1/15,East,Decaf Irish Cream,296,105,43
2/1/14,West,Caffe Mocha,221,23,99
10/1/14,East,Chamomile,95,18,21
12/1/15,West,Darjeeling,194,-9,73
5/1/14,East,Darjeeling,121,21,21
7/1/14,Central,Decaf Irish Cream,88,23,44
1/1/15,West,Decaf Espresso,395,137,90
8/1/14,Central,Lemon,81,18,23
9/1/15,South,Decaf Irish Cream,80,27,41
1/1/15,Central,Caffe Mocha,236,86,39
7/1/15,West,Caffe Mocha,599,208,140
1/1/14,West,Decaf Irish Cream,143,38,47
2/1/14,West,Lemon,52,19,21
1/1/15,West,Caffe Mocha,236,73,70
8/1/15,Central,Decaf Irish Cream,89,41,23
12/1/14,West,Mint,309,142,65
2/1/14,West,Decaf Irish Cream,170,48,93
2/1/15,South,Decaf Irish Cream,214,77,50
11/1/14,West,Darjeeling,29,9,21
9/1/14,Central,Decaf Irish Cream,257,-31,85
6/1/15,Central,Darjeeling,325,113,41
10/1/15,West,Decaf Espresso,337,175,111
2/1/15,West,Chamomile,113,30,31
10/1/14,Central,Darjeeling,149,42,39
5/1/15,West,Decaf Irish Cream,120,54,43
7/1/14,West,Mint,311,142,44
8/1/15,West,Caffe Latte,73,35,21
8/1/14,East,Lemon,370,307,146
1/1/14,South,Decaf Irish Cream,192,-1,61
8/1/14,West,Caffe Mocha,74,5,42
2/1/14,West,Lemon,103,33,26
2/1/14,East,Caffe Mocha,291,127,108
5/1/14,West,Darjeeling,128,38,25
3/1/14,South,Decaf Irish Cream,422,113,96
8/1/14,Central,Decaf Irish Cream,80,14,41
7/1/14,West,Lemon,176,38,52
10/1/14,East,Darjeeling,57,7,18
9/1/15,East,Lemon,221,98,54
1/1/15,Central,Decaf Irish Cream,157,48,51
9/1/15,East,Decaf Irish Cream,321,234,41
10/1/14,South,Caffe Mocha,65,24,22
8/1/14,South,Chamomile,151,26,63
7/1/14,East,Lemon,248,41,64
5/1/14,West,Darjeeling,111,19,47
10/1/14,West,Decaf Espresso,142,57,47
11/1/15,West,Lemon,86,17,25
3/1/15,East,Decaf Irish Cream,588,222,136
5/1/14,East,Darjeeling,119,35,46
3/1/14,West,Decaf Irish Cream,110,8,37
10/1/14,West,Darjeeling,243,86,55
7/1/14,West,Colombian,533,286,144
1/1/15,West,Darjeeling,249,149,48
11/1/14,West,Caffe Mocha,89,14,25
2/1/14,Central,Chamomile,241,69,31
9/1/15,Central,Chamomile,124,38,37
5/1/14,West,Darjeeling,108,35,48
12/1/14,Central,Chamomile,540,154,93
4/1/15,Central,Decaf Espresso,114,61,25
1/1/15,West,Darjeeling,141,-4,63
7/1/14,West,Decaf Irish Cream,135,27,47
5/1/14,Central,Decaf Irish Cream,126,13,56
5/1/15,West,Chamomile,48,38,18
1/1/14,West,Decaf Irish Cream,126,-7,55
4/1/14,West,Darjeeling,124,22,39
3/1/14,West,Lemon,513,144,159
1/1/14,East,Chamomile,94,31,23
5/1/14,Central,Darjeeling,157,23,48
7/1/14,South,Lemon,75,13,46
4/1/14,Central,Decaf Irish Cream,171,31,35
2/1/15,Central,Decaf Irish Cream,217,101,29
10/1/14,East,Chamomile,41,-10,22
5/1/14,East,Darjeeling,103,26,38
2/1/15,South,Decaf Irish Cream,292,127,86
3/1/14,Central,Darjeeling,109,40,38
4/1/14,South,Chamomile,61,7,27
1/1/15,Central,Darjeeling,480,154,84
2/1/15,West,Caffe Latte,104,27,45
2/1/14,West,Decaf Irish Cream,123,34,50
5/1/15,West,Lemon,268,76,56
10/1/14,Central,Darjeeling,216,140,39
3/1/15,West,Darjeeling,147,-2,38
