Ddate,Market,Product,Product Type,Sales,Profit,Expenses
10/1/12,South,Decaf Irish Cream,Coffee,52,-3,29
10/1/12,East,Caffe Mocha,Espresso,89,-2,49
1/1/13,South,Decaf Irish Cream,Coffee,357,125,105
7/1/12,West,Lemon,Herbal Tea,323,175,135
2/1/12,West,Decaf Irish Cream,Coffee,129,26,48
5/1/13,South,Decaf Irish Cream,Coffee,54,23,20
7/1/13,Central,Darjeeling,Tea,62,23,12
8/1/13,Central,Chamomile,Herbal Tea,59,-3,23
3/1/12,West,Darjeeling,Tea,96,-14,25
10/1/12,West,Darjeeling,Tea,280,107,55
10/1/12,Central,Darjeeling,Tea,302,138,47
9/1/13,South,Decaf Irish Cream,Coffee,87,37,36
8/1/12,Central,Chamomile,Herbal Tea,318,113,47
8/1/12,West,Chamomile,Herbal Tea,327,168,138
1/1/13,East,Decaf Irish Cream,Coffee,201,57,60
5/1/12,East,Amaretto,Coffee,117,28,48
5/1/13,South,Lemon,Herbal Tea,44,49,12
12/1/13,Central,Decaf Espresso,Espresso,517,165,69
10/1/13,West,Decaf Irish Cream,Coffee,214,56,45
12/1/12,West,Caffe Mocha,Espresso,176,86,46
10/1/13,Central,Darjeeling,Tea,546,157,121
8/1/12,West,Decaf Irish Cream,Coffee,113,12,21
12/1/13,East,Caffe Mocha,Espresso,637,386,139
2/1/12,East,Decaf Espresso,Espresso,137,25,52
5/1/13,South,Caffe Mocha,Espresso,137,57,55
10/1/12,East,Decaf Espresso,Espresso,285,77,60
8/1/12,Central,Decaf Irish Cream,Coffee,286,80,59
8/1/12,South,Caffe Latte,Espresso,247,98,100
12/1/12,Central,Darjeeling,Tea,76,22,34
3/1/13,East,Decaf Irish Cream,Coffee,239,328,92
10/1/12,West,Caffe Latte,Espresso,184,14,62
6/1/13,West,Darjeeling,Tea,153,37,39
5/1/13,West,Lemon,Herbal Tea,58,32,21
5/1/12,East,Chamomile,Herbal Tea,150,36,54
5/1/13,South,Decaf Irish Cream,Coffee,86,16,18
9/1/13,South,Caffe Mocha,Espresso,96,39,38
2/1/12,East,Lemon,Herbal Tea,190,13,109
5/1/12,Central,Decaf Espresso,Espresso,161,37,37
6/1/12,Central,Lemon,Herbal Tea,70,36,44
1/1/13,South,Chamomile,Herbal Tea,220,40,55
9/1/12,West,Amaretto,Coffee,131,-10,58
5/1/12,West,Decaf Espresso,Espresso,120,38,43
4/1/12,West,Darjeeling,Tea,84,-9,50
10/1/12,South,Decaf Irish Cream,Coffee,53,12,21
1/1/12,East,Darjeeling,Tea,134,32,25
8/1/12,West,Decaf Irish Cream,Coffee,238,-2,152
7/1/12,West,Decaf Espresso,Espresso,171,51,57
7/1/12,West,Decaf Irish Cream,Coffee,143,70,54
9/1/13,South,Decaf Irish Cream,Coffee,123,36,32
1/1/13,West,Decaf Irish Cream,Coffee,386,90,109
5/1/13,West,Decaf Irish Cream,Coffee,125,45,41
5/1/12,West,Decaf Irish Cream,Coffee,109,13,35
10/1/12,South,Decaf Irish Cream,Coffee,163,44,45
7/1/12,West,Lemon,Herbal Tea,152,25,55
5/1/13,Central,Decaf Irish Cream,Coffee,195,68,39
2/1/12,Central,Mint,Herbal Tea,161,63,36
10/1/12,West,Lemon,Herbal Tea,256,19,45
1/1/13,West,Decaf Espresso,Espresso,247,72,59
5/1/13,Central,Decaf Irish Cream,Coffee,143,49,37
5/1/12,Central,Decaf Irish Cream,Coffee,198,42,59
2/1/13,Central,Decaf Irish Cream,Coffee,240,99,54
7/1/12,West,Darjeeling,Tea,181,95,60
8/1/13,Central,Decaf Irish Cream,Coffee,78,8,27
1/1/12,East,Chamomile,Herbal Tea,143,32,46
4/1/12,South,Caffe Mocha,Espresso,115,9,34
3/1/12,Central,Caffe Mocha,Espresso,167,2,74
10/1/12,West,Darjeeling,Tea,146,-3,67
7/1/12,East,Decaf Irish Cream,Coffee,211,46,68
2/1/13,West,Decaf Irish Cream,Coffee,157,68,54
12/1/12,West,Decaf Irish Cream,Coffee,102,13,39
5/1/13,West,Decaf Irish Cream,Coffee,172,42,40
5/1/13,West,Darjeeling,Tea,61,-17,70
12/1/12,West,Caffe Mocha,Espresso,299,82,64
4/1/13,West,Decaf Espresso,Espresso,42,43,21
6/1/13,West,Darjeeling,Tea,137,59,36
2/1/12,East,Chamomile,Herbal Tea,194,35,59
9/1/13,East,Decaf Irish Cream,Coffee,614,514,112
9/1/13,South,Decaf Espresso,Espresso,145,71,54
8/1/13,West,Decaf Irish Cream,Coffee,79,22,49
1/1/13,West,Darjeeling,Tea,134,56,39
2/1/12,Central,Decaf Irish Cream,Coffee,173,40,33
6/1/12,West,Decaf Irish Cream,Coffee,179,30,120
9/1/12,East,Chamomile,Herbal Tea,68,19,28
11/1/12,West,Mint,Herbal Tea,137,17,46
2/1/12,South,Lemon,Herbal Tea,103,16,56
2/1/12,East,Decaf Espresso,Espresso,117,2,56
4/1/12,East,Lemon,Herbal Tea,93,-11,41
2/1/12,West,Decaf Espresso,Espresso,58,15,19
2/1/12,South,Caffe Mocha,Espresso,178,-4,83
11/1/12,East,Darjeeling,Tea,70,19,29
8/1/12,West,Decaf Irish Cream,Coffee,349,294,149
1/1/12,Central,Amaretto,Coffee,160,8,62
9/1/13,West,Darjeeling,Tea,207,61,36
11/1/13,Central,Chamomile,Herbal Tea,88,10,27
12/1/12,West,Darjeeling,Tea,145,8,49
1/1/12,Central,Caffe Mocha,Espresso,225,92,93
5/1/13,West,Darjeeling,Tea,47,-521,42
8/1/12,West,Lemon,Herbal Tea,28,-4,11
8/1/12,West,Lemon,Herbal Tea,552,234,155
8/1/13,Central,Decaf Irish Cream,Coffee,72,14,22
3/1/12,South,Decaf Irish Cream,Coffee,183,74,34
8/1/13,Central,Lemon,Herbal Tea,80,21,18
10/1/12,East,Decaf Irish Cream,Coffee,185,49,60
9/1/13,Central,Lemon,Herbal Tea,506,162,114
8/1/12,Central,Decaf Irish Cream,Coffee,206,97,43
8/1/12,West,Decaf Irish Cream,Coffee,120,5,44
3/1/13,East,Decaf Irish Cream,Coffee,608,355,94
4/1/13,East,Decaf Espresso,Espresso,130,56,46
9/1/12,East,Lemon,Herbal Tea,108,9,51
7/1/12,Central,Decaf Irish Cream,Coffee,124,-2,52
5/1/12,East,Lemon,Herbal Tea,190,26,44
9/1/13,Central,Lemon,Herbal Tea,638,173,96
8/1/12,West,Mint,Herbal Tea,243,6,93
1/1/12,Central,Lemon,Herbal Tea,213,68,41
10/1/13,Central,Darjeeling,Tea,303,156,34
3/1/13,Central,Decaf Irish Cream,Coffee,204,35,53
2/1/13,Central,Caffe Mocha,Espresso,202,87,53
9/1/13,Central,Decaf Irish Cream,Coffee,120,26,39
5/1/13,Central,Lemon,Herbal Tea,107,41,22
2/1/13,South,Decaf Irish Cream,Coffee,239,70,73
2/1/12,East,Chamomile,Herbal Tea,219,88,82
8/1/12,Central,Decaf Irish Cream,Coffee,87,20,42
10/1/13,East,Decaf Espresso,Espresso,231,123,60
4/1/12,East,Mint,Herbal Tea,117,-8,54
12/1/13,South,Caffe Mocha,Espresso,329,171,59
8/1/13,Central,Lemon,Herbal Tea,87,17,32
9/1/13,Central,Darjeeling,Tea,182,41,34
12/1/12,Central,Decaf Irish Cream,Coffee,317,159,46
12/1/12,Central,Chamomile,Herbal Tea,141,58,39
1/1/12,Central,Decaf Irish Cream,Coffee,266,138,62
1/1/13,South,Decaf Irish Cream,Coffee,170,51,30
12/1/12,East,Mint,Herbal Tea,233,56,45
2/1/12,Central,Decaf Irish Cream,Coffee,142,11,47
5/1/12,South,Decaf Irish Cream,Coffee,111,28,20
5/1/13,Central,Decaf Irish Cream,Coffee,270,119,64
1/1/13,South,Caffe Latte,Espresso,158,-2,57
3/1/12,Central,Darjeeling,Tea,151,28,35
5/1/13,East,Chamomile,Herbal Tea,89,-25,67
8/1/13,Central,Decaf Irish Cream,Coffee,92,24,21
2/1/12,Central,Darjeeling,Tea,265,172,42
2/1/12,West,Decaf Irish Cream,Coffee,54,7,20
10/1/12,West,Darjeeling,Tea,95,-3,41
6/1/12,Central,Decaf Irish Cream,Coffee,58,26,21
1/1/12,Central,Caffe Mocha,Espresso,219,65,94
10/1/12,Central,Lemon,Herbal Tea,54,6,21
1/1/13,Central,Decaf Irish Cream,Coffee,155,93,38
11/1/13,South,Caffe Mocha,Espresso,149,-13,41
5/1/12,South,Caffe Mocha,Espresso,131,36,48
12/1/12,South,Caffe Mocha,Espresso,537,196,96
7/1/12,West,Chamomile,Herbal Tea,518,147,109
11/1/12,West,Darjeeling,Tea,115,16,42
4/1/12,Central,Decaf Irish Cream,Coffee,167,41,38
10/1/13,Central,Darjeeling,Tea,543,132,89
1/1/12,Central,Decaf Irish Cream,Coffee,228,14,64
2/1/12,Central,Decaf Irish Cream,Coffee,210,145,78
8/1/12,Central,Mint,Herbal Tea,163,16,44
2/1/12,West,Mint,Herbal Tea,200,71,41
2/1/12,Central,Decaf Irish Cream,Coffee,196,71,38
1/1/13,Central,Decaf Irish Cream,Coffee,361,159,90
5/1/12,Central,Decaf Irish Cream,Coffee,113,32,34
4/1/13,South,Decaf Espresso,Espresso,142,54,21
10/1/13,South,Decaf Espresso,Espresso,228,147,57
12/1/13,East,Mint,Herbal Tea,133,32,50
2/1/13,Central,Darjeeling,Tea,196,57,40
10/1/12,West,Earl Grey,Tea,187,-1,61
1/1/12,West,Mint,Herbal Tea,239,23,61
4/1/12,Central,Caffe Mocha,Espresso,256,122,55
7/1/12,West,Decaf Espresso,Espresso,137,24,32
10/1/12,East,Decaf Irish Cream,Coffee,503,182,43
1/1/13,East,Caffe Mocha,Espresso,253,102,101
1/1/13,West,Decaf Espresso,Espresso,77,24,23
2/1/13,South,Decaf Irish Cream,Coffee,152,38,43
11/1/13,West,Decaf Irish Cream,Coffee,134,-11,47
11/1/13,East,Caffe Mocha,Espresso,586,199,112
10/1/13,East,Lemon,Herbal Tea,628,297,120
9/1/13,Central,Decaf Irish Cream,Coffee,138,41,53
12/1/13,East,Lemon,Herbal Tea,616,314,135
4/1/12,East,Lemon,Herbal Tea,131,19,43
5/1/13,West,Decaf Irish Cream,Coffee,110,55,27
8/1/12,East,Darjeeling,Tea,57,4,18
1/1/13,Central,Darjeeling,Tea,363,149,78
8/1/12,Central,Chamomile,Herbal Tea,331,139,64
4/1/13,South,Caffe Latte,Espresso,144,57,36
12/1/12,Central,Decaf Irish Cream,Coffee,62,8,32
10/1/13,West,Darjeeling,Tea,297,146,42
8/1/12,West,Decaf Irish Cream,Coffee,109,9,42
5/1/12,East,Decaf Espresso,Espresso,168,66,54
7/1/12,West,Decaf Irish Cream,Coffee,199,33,65
3/1/12,West,Chamomile,Herbal Tea,104,35,17
5/1/12,West,Decaf Irish Cream,Coffee,117,14,40
2/1/12,East,Lemon,Herbal Tea,110,14,23
5/1/13,West,Caffe Mocha,Espresso,631,214,107
2/1/13,South,Caffe Mocha,Espresso,149,71,41
8/1/12,South,Lemon,Herbal Tea,92,26,42
5/1/12,South,Decaf Irish Cream,Coffee,116,35,32
2/1/13,East,Decaf Irish Cream,Coffee,230,140,52
10/1/12,Central,Darjeeling,Tea,189,55,41
4/1/12,South,Lemon,Herbal Tea,148,40,41
4/1/12,West,Caffe Mocha,Espresso,108,28,37
10/1/12,South,Decaf Irish Cream,Coffee,110,4,29
8/1/12,West,Caffe Mocha,Espresso,225,18,141
8/1/12,Central,Caffe Mocha,Espresso,328,165,56
11/1/12,East,Regular Espresso,Espresso,66,-5,26
5/1/12,West,Decaf Irish Cream,Coffee,76,11,35
3/1/12,East,Lemon,Herbal Tea,171,33,64
5/1/12,Central,Decaf Irish Cream,Coffee,161,37,41
3/1/12,West,Darjeeling,Tea,115,30,37
9/1/12,West,Decaf Irish Cream,Coffee,136,36,50
4/1/12,West,Darjeeling,Tea,62,-11,39
11/1/13,Central,Lemon,Herbal Tea,87,20,46
11/1/13,South,Caffe Mocha,Espresso,71,29,22
4/1/12,South,Lemon,Herbal Tea,121,36,37
5/1/12,Central,Decaf Irish Cream,Coffee,134,34,35
7/1/12,South,Decaf Irish Cream,Coffee,69,18,36
3/1/12,East,Lemon,Herbal Tea,166,37,42
2/1/12,West,Decaf Irish Cream,Coffee,117,-10,66
12/1/12,West,Decaf Espresso,Espresso,127,67,42
2/1/12,East,Decaf Espresso,Espresso,207,77,53
2/1/12,West,Earl Grey,Tea,182,76,35
12/1/12,Central,Decaf Irish Cream,Coffee,64,15,26
4/1/12,South,Lemon,Herbal Tea,185,36,50
2/1/13,Central,Darjeeling,Tea,157,68,43
11/1/12,East,Caffe Mocha,Espresso,283,114,101
2/1/13,West,Decaf Espresso,Espresso,76,40,17
1/1/13,Central,Decaf Irish Cream,Coffee,296,130,92
2/1/12,West,Decaf Espresso,Espresso,101,38,24
12/1/12,South,Caffe Mocha,Espresso,105,49,38
6/1/12,West,Decaf Irish Cream,Coffee,127,51,47
10/1/12,Central,Decaf Irish Cream,Coffee,259,37,43
8/1/12,East,Chamomile,Herbal Tea,61,9,21
4/1/12,South,Caffe Mocha,Espresso,53,19,31
11/1/13,West,Caffe Mocha,Espresso,83,9,24
1/1/12,Central,Decaf Irish Cream,Coffee,195,64,38
4/1/12,East,Lemon,Herbal Tea,111,24,38
7/1/13,West,Decaf Irish Cream,Coffee,221,-1,156
11/1/13,West,Lemon,Herbal Tea,119,-9,55
5/1/13,Central,Chamomile,Herbal Tea,323,183,35
8/1/13,West,Chamomile,Herbal Tea,61,20,19
10/1/12,West,Chamomile,Herbal Tea,223,62,55
10/1/13,West,Chamomile,Herbal Tea,368,213,102
7/1/12,West,Decaf Espresso,Espresso,126,20,33
8/1/12,West,Decaf Irish Cream,Coffee,213,38,59
3/1/13,Central,Lemon,Herbal Tea,327,144,42
3/1/13,East,Caffe Mocha,Espresso,253,176,108
1/1/13,Central,Decaf Irish Cream,Coffee,230,77,117
11/1/13,Central,Darjeeling,Tea,72,18,43
5/1/13,Central,Decaf Irish Cream,Coffee,158,56,36
10/1/13,East,Decaf Irish Cream,Coffee,533,615,130
4/1/12,Central,Caffe Mocha,Espresso,187,37,43
1/1/13,West,Darjeeling,Tea,275,44,91
2/1/12,Central,Decaf Irish Cream,Coffee,148,49,37
9/1/13,Central,Decaf Irish Cream,Coffee,146,48,36
5/1/12,West,Darjeeling,Tea,452,158,88
3/1/12,Central,Decaf Irish Cream,Coffee,166,73,38
11/1/12,East,Darjeeling,Tea,43,-5,29
7/1/13,West,Lemon,Herbal Tea,530,362,117
6/1/13,West,Darjeeling,Tea,537,220,104
3/1/13,East,Decaf Irish Cream,Coffee,303,412,48
9/1/13,East,Decaf Irish Cream,Coffee,304,125,55
7/1/12,Central,Decaf Irish Cream,Coffee,77,5,34
9/1/12,West,Darjeeling,Tea,170,77,57
9/1/13,East,Decaf Espresso,Espresso,172,36,43
10/1/12,Central,Lemon,Herbal Tea,179,34,46
2/1/12,South,Caffe Mocha,Espresso,117,40,44
7/1/12,West,Earl Grey,Tea,188,69,68
