"Region","Year","Number_of_Vehicles","Vehicle_Type"
"Stockholms län","2021",1049,"towing vehicles"
"Stockholms län","2022",1119,"towing vehicles"
"Stockholms län","2002",2585,"buses"
"Stockholms län","2003",2509,"buses"
"Stockholms län","2004",2510,"buses"
"Stockholms län","2005",2684,"buses"
"Stockholms län","2006",2690,"buses"
"Stockholms län","2007",2609,"buses"
"Stockholms län","2008",2669,"buses"
"Stockholms län","2009",2787,"buses"
"Stockholms län","2010",2814,"buses"
"Stockholms län","2011",2901,"buses"
"Stockholms län","2012",3239,"buses"
"Stockholms län","2013",3066,"buses"
"Stockholms län","2014",2975,"buses"
"Stockholms län","2015",2897,"buses"
"Stockholms län","2016",2852,"buses"
"Stockholms län","2017",2922,"buses"
"Stockholms län","2018",3010,"buses"
"Stockholms län","2019",3025,"buses"
"Stockholms län","2020",2889,"buses"
"Stockholms län","2021",2812,"buses"
"Stockholms län","2022",2924,"buses"
"Stockholms län","2002",26025,"motorcycles"
"Stockholms län","2003",26731,"motorcycles"
"Stockholms län","2004",28714,"motorcycles"
"Stockholms län","2005",31219,"motorcycles"
"Stockholms län","2006",34359,"motorcycles"
"Stockholms län","2007",36169,"motorcycles"
"Stockholms län","2008",37740,"motorcycles"
"Stockholms län","2009",39160,"motorcycles"
"Stockholms län","2010",39266,"motorcycles"
"Stockholms län","2011",40101,"motorcycles"
"Stockholms län","2012",40485,"motorcycles"
"Stockholms län","2013",40686,"motorcycles"
"Stockholms län","2014",41591,"motorcycles"
"Stockholms län","2015",42607,"motorcycles"
"Stockholms län","2016",44287,"motorcycles"
"Stockholms län","2017",45079,"motorcycles"
"Stockholms län","2018",45140,"motorcycles"
"Stockholms län","2019",45359,"motorcycles"
"Stockholms län","2020",46735,"motorcycles"
"Stockholms län","2021",47078,"motorcycles"
"Stockholms län","2022",46948,"motorcycles"
"Stockholms län","2002",2523,"mopeds class 1"
"Stockholms län","2003",3112,"mopeds class 1"
"Stockholms län","2004",5194,"mopeds class 1"
"Stockholms län","2005",7577,"mopeds class 1"
"Stockholms län","2006",10576,"mopeds class 1"
"Stockholms län","2007",12142,"mopeds class 1"
"Stockholms län","2008",13920,"mopeds class 1"
"Stockholms län","2009",14001,"mopeds class 1"
"Stockholms län","2010",12415,"mopeds class 1"
"Stockholms län","2011",12085,"mopeds class 1"
"Stockholms län","2012",11732,"mopeds class 1"
"Stockholms län","2013",11853,"mopeds class 1"
"Stockholms län","2014",12378,"mopeds class 1"
"Stockholms län","2015",11581,"mopeds class 1"
"Stockholms län","2016",11897,"mopeds class 1"
"Stockholms län","2017",14763,"mopeds class 1"
"Stockholms län","2018",14238,"mopeds class 1"
"Stockholms län","2019",15323,"mopeds class 1"
"Stockholms län","2020",18632,"mopeds class 1"
"Stockholms län","2021",18936,"mopeds class 1"
"Stockholms län","2022",19385,"mopeds class 1"
"Stockholms län","2002",12242,"tractors"
"Stockholms län","2003",12392,"tractors"
"Stockholms län","2004",12560,"tractors"
"Stockholms län","2005",12597,"tractors"
"Stockholms län","2006",12726,"tractors"
"Stockholms län","2007",12630,"tractors"
"Stockholms län","2008",12660,"tractors"
"Stockholms län","2009",12606,"tractors"
"Stockholms län","2010",12555,"tractors"
"Stockholms län","2011",12558,"tractors"
"Stockholms län","2012",12653,"tractors"
"Stockholms län","2013",12806,"tractors"
"Stockholms län","2014",12951,"tractors"
"Stockholms län","2015",13188,"tractors"
"Stockholms län","2016",13530,"tractors"
"Stockholms län","2017",13861,"tractors"
"Stockholms län","2018",14260,"tractors"
"Stockholms län","2019",15176,"tractors"
"Stockholms län","2020",15977,"tractors"
"Stockholms län","2021",17427,"tractors"
"Stockholms län","2022",18537,"tractors"
"Stockholms län","2002",0,"snowmobiles"
"Stockholms län","2003",0,"snowmobiles"
"Stockholms län","2004",0,"snowmobiles"
"Stockholms län","2005",0,"snowmobiles"
"Stockholms län","2006",0,"snowmobiles"
"Stockholms län","2007",0,"snowmobiles"
"Stockholms län","2008",0,"snowmobiles"
"Stockholms län","2009",5256,"snowmobiles"
"Stockholms län","2010",5534,"snowmobiles"
"Stockholms län","2011",5602,"snowmobiles"
"Stockholms län","2012",6025,"snowmobiles"
"Stockholms län","2013",6238,"snowmobiles"
"Stockholms län","2014",6305,"snowmobiles"
"Stockholms län","2015",6497,"snowmobiles"
"Stockholms län","2016",6806,"snowmobiles"
"Stockholms län","2017",7270,"snowmobiles"
"Stockholms län","2018",7402,"snowmobiles"
"Stockholms län","2019",7617,"snowmobiles"
"Stockholms län","2020",7919,"snowmobiles"
"Stockholms län","2021",8296,"snowmobiles"
"Stockholms län","2022",8632,"snowmobiles"
"Stockholms län","2002",0,"all-terrain vehicles"
"Stockholms län","2003",0,"all-terrain vehicles"
"Stockholms län","2004",0,"all-terrain vehicles"
"Stockholms län","2005",0,"all-terrain vehicles"
"Stockholms län","2006",0,"all-terrain vehicles"
"Stockholms län","2007",0,"all-terrain vehicles"
"Stockholms län","2008",0,"all-terrain vehicles"
"Stockholms län","2009",4596,"all-terrain vehicles"
"Stockholms län","2010",4981,"all-terrain vehicles"
"Stockholms län","2011",5383,"all-terrain vehicles"
"Stockholms län","2012",5821,"all-terrain vehicles"
"Stockholms län","2013",6242,"all-terrain vehicles"
"Stockholms län","2014",6691,"all-terrain vehicles"
"Stockholms län","2015",7320,"all-terrain vehicles"
"Stockholms län","2016",7816,"all-terrain vehicles"
"Stockholms län","2017",8087,"all-terrain vehicles"
"Stockholms län","2018",8359,"all-terrain vehicles"
"Stockholms län","2019",8774,"all-terrain vehicles"
"Stockholms län","2020",9058,"all-terrain vehicles"
"Stockholms län","2021",9377,"all-terrain vehicles"
"Stockholms län","2022",9668,"all-terrain vehicles"
"Stockholms län","2002",6993,"cross-country scooters"
"Stockholms län","2003",7265,"cross-country scooters"
"Stockholms län","2004",7756,"cross-country scooters"
"Stockholms län","2005",8324,"cross-country scooters"
"Stockholms län","2006",8936,"cross-country scooters"
"Stockholms län","2007",9395,"cross-country scooters"
"Stockholms län","2008",9806,"cross-country scooters"
"Stockholms län","2009",377,"cross-country scooters"
"Stockholms län","2010",376,"cross-country scooters"
"Stockholms län","2011",365,"cross-country scooters"
"Stockholms län","2012",361,"cross-country scooters"
"Stockholms län","2013",356,"cross-country scooters"
"Stockholms län","2014",323,"cross-country scooters"
"Stockholms län","2015",304,"cross-country scooters"
"Stockholms län","2016",296,"cross-country scooters"
"Stockholms län","2017",278,"cross-country scooters"
"Stockholms län","2018",266,"cross-country scooters"
"Stockholms län","2019",264,"cross-country scooters"
"Stockholms län","2020",254,"cross-country scooters"
"Stockholms län","2021",252,"cross-country scooters"
"Stockholms län","2022",238,"cross-country scooters"
"Stockholms län","2002",71536,"trailers"
"Stockholms län","2003",74860,"trailers"
"Stockholms län","2004",77791,"trailers"
"Stockholms län","2005",80768,"trailers"
"Stockholms län","2006",84778,"trailers"
"Stockholms län","2007",88722,"trailers"
"Stockholms län","2008",92988,"trailers"
"Stockholms län","2009",95792,"trailers"
"Stockholms län","2010",98054,"trailers"
"Stockholms län","2011",101093,"trailers"
"Stockholms län","2012",103830,"trailers"
"Stockholms län","2013",106641,"trailers"
"Stockholms län","2014",110721,"trailers"
"Stockholms län","2015",114740,"trailers"
"Stockholms län","2016",119031,"trailers"
"Stockholms län","2017",123179,"trailers"
"Stockholms län","2018",126925,"trailers"
"Stockholms län","2019",129534,"trailers"
"Stockholms län","2020",134464,"trailers"
"Stockholms län","2021",139216,"trailers"
"Stockholms län","2022",142381,"trailers"
"Uppsala län","2002",132325,"passenger cars"
"Uppsala län","2003",129258,"passenger cars"
"Uppsala län","2004",130668,"passenger cars"
"Uppsala län","2005",132716,"passenger cars"
"Uppsala län","2006",133191,"passenger cars"
"Uppsala län","2007",142099,"passenger cars"
"Uppsala län","2008",141838,"passenger cars"
"Uppsala län","2009",143298,"passenger cars"
"Uppsala län","2010",145307,"passenger cars"
"Uppsala län","2011",147403,"passenger cars"
"Uppsala län","2012",149835,"passenger cars"
"Uppsala län","2013",150255,"passenger cars"
"Uppsala län","2014",153499,"passenger cars"
"Uppsala län","2015",157021,"passenger cars"
"Uppsala län","2016",160380,"passenger cars"
"Uppsala län","2017",162740,"passenger cars"
"Uppsala län","2018",164118,"passenger cars"
"Uppsala län","2019",165057,"passenger cars"
"Uppsala län","2020",167999,"passenger cars"
"Uppsala län","2021",170634,"passenger cars"
"Uppsala län","2022",171060,"passenger cars"
"Uppsala län","2002",11792,"light lorries"
"Uppsala län","2003",10939,"light lorries"
"Uppsala län","2004",11627,"light lorries"
"Uppsala län","2005",12237,"light lorries"
"Uppsala län","2006",11732,"light lorries"
"Uppsala län","2007",13348,"light lorries"
"Uppsala län","2008",13339,"light lorries"
"Uppsala län","2009",13528,"light lorries"
"Uppsala län","2010",13869,"light lorries"
"Uppsala län","2011",14626,"light lorries"
"Uppsala län","2012",14971,"light lorries"
"Uppsala län","2013",15298,"light lorries"
"Uppsala län","2014",16011,"light lorries"
"Uppsala län","2015",16724,"light lorries"
"Uppsala län","2016",17260,"light lorries"
"Uppsala län","2017",17773,"light lorries"
"Uppsala län","2018",18107,"light lorries"
"Uppsala län","2019",18500,"light lorries"
"Uppsala län","2020",18673,"light lorries"
"Uppsala län","2021",18919,"light lorries"
"Uppsala län","2022",18899,"light lorries"
"Uppsala län","2002",2277,"heavy lorries"
"Uppsala län","2003",2204,"heavy lorries"
"Uppsala län","2004",2204,"heavy lorries"
"Uppsala län","2005",2173,"heavy lorries"
"Uppsala län","2006",2162,"heavy lorries"
"Uppsala län","2007",2550,"heavy lorries"
"Uppsala län","2008",2313,"heavy lorries"
"Uppsala län","2009",2250,"heavy lorries"
"Uppsala län","2010",2257,"heavy lorries"
"Uppsala län","2011",2427,"heavy lorries"
"Uppsala län","2012",2462,"heavy lorries"
"Uppsala län","2013",2427,"heavy lorries"
"Uppsala län","2014",2452,"heavy lorries"
"Uppsala län","2015",2540,"heavy lorries"
"Uppsala län","2016",2605,"heavy lorries"
"Uppsala län","2017",2616,"heavy lorries"
"Uppsala län","2018",2550,"heavy lorries"
"Uppsala län","2019",2638,"heavy lorries"
"Uppsala län","2020",2655,"heavy lorries"
"Uppsala län","2021",2666,"heavy lorries"
"Uppsala län","2022",2620,"heavy lorries"
"Uppsala län","2002",69,"towing vehicles"
"Uppsala län","2003",81,"towing vehicles"
"Uppsala län","2004",84,"towing vehicles"
"Uppsala län","2005",76,"towing vehicles"
"Uppsala län","2006",78,"towing vehicles"
"Uppsala län","2007",94,"towing vehicles"
"Uppsala län","2008",84,"towing vehicles"
"Uppsala län","2009",79,"towing vehicles"
"Uppsala län","2010",81,"towing vehicles"
"Uppsala län","2011",81,"towing vehicles"
"Uppsala län","2012",91,"towing vehicles"
"Uppsala län","2013",97,"towing vehicles"
"Uppsala län","2014",91,"towing vehicles"
"Uppsala län","2015",91,"towing vehicles"
"Uppsala län","2016",111,"towing vehicles"
"Uppsala län","2017",116,"towing vehicles"
"Uppsala län","2018",110,"towing vehicles"
"Uppsala län","2019",117,"towing vehicles"
"Uppsala län","2020",112,"towing vehicles"
"Uppsala län","2021",124,"towing vehicles"
"Uppsala län","2022",134,"towing vehicles"
"Uppsala län","2002",562,"buses"
"Uppsala län","2003",503,"buses"
"Uppsala län","2004",488,"buses"
"Uppsala län","2005",444,"buses"
"Uppsala län","2006",443,"buses"
"Uppsala län","2007",485,"buses"
"Uppsala län","2008",484,"buses"
"Uppsala län","2009",480,"buses"
"Uppsala län","2010",490,"buses"
"Uppsala län","2011",472,"buses"
"Uppsala län","2012",495,"buses"
"Uppsala län","2013",485,"buses"
"Uppsala län","2014",521,"buses"
"Uppsala län","2015",554,"buses"
"Uppsala län","2016",550,"buses"
"Uppsala län","2017",545,"buses"
"Uppsala län","2018",549,"buses"
"Uppsala län","2019",572,"buses"
"Uppsala län","2020",484,"buses"
"Uppsala län","2021",460,"buses"
"Uppsala län","2022",519,"buses"
"Uppsala län","2002",5702,"motorcycles"
"Uppsala län","2003",6103,"motorcycles"
"Uppsala län","2004",6677,"motorcycles"
"Uppsala län","2005",7146,"motorcycles"
"Uppsala län","2006",7703,"motorcycles"
"Uppsala län","2007",8645,"motorcycles"
"Uppsala län","2008",8908,"motorcycles"
"Uppsala län","2009",9150,"motorcycles"
"Uppsala län","2010",9319,"motorcycles"
"Uppsala län","2011",9481,"motorcycles"
"Uppsala län","2012",9693,"motorcycles"
"Uppsala län","2013",9733,"motorcycles"
"Uppsala län","2014",9954,"motorcycles"
"Uppsala län","2015",10247,"motorcycles"
"Uppsala län","2016",10636,"motorcycles"
"Uppsala län","2017",10738,"motorcycles"
"Uppsala län","2018",10689,"motorcycles"
"Uppsala län","2019",10803,"motorcycles"
"Uppsala län","2020",11060,"motorcycles"
"Uppsala län","2021",11228,"motorcycles"
"Uppsala län","2022",11228,"motorcycles"
"Uppsala län","2002",459,"mopeds class 1"
"Uppsala län","2003",673,"mopeds class 1"
"Uppsala län","2004",1056,"mopeds class 1"
"Uppsala län","2005",1451,"mopeds class 1"
"Uppsala län","2006",1890,"mopeds class 1"
"Uppsala län","2007",2322,"mopeds class 1"
"Uppsala län","2008",2466,"mopeds class 1"
"Uppsala län","2009",2488,"mopeds class 1"
"Uppsala län","2010",2175,"mopeds class 1"
"Uppsala län","2011",2151,"mopeds class 1"
"Uppsala län","2012",2095,"mopeds class 1"
"Uppsala län","2013",2168,"mopeds class 1"
"Uppsala län","2014",2243,"mopeds class 1"
"Uppsala län","2015",2267,"mopeds class 1"
"Uppsala län","2016",2294,"mopeds class 1"
"Uppsala län","2017",2389,"mopeds class 1"
"Uppsala län","2018",2500,"mopeds class 1"
"Uppsala län","2019",2693,"mopeds class 1"
"Uppsala län","2020",3002,"mopeds class 1"
"Uppsala län","2021",2942,"mopeds class 1"
"Uppsala län","2022",3020,"mopeds class 1"
"Uppsala län","2002",11624,"tractors"
"Uppsala län","2003",11573,"tractors"
"Uppsala län","2004",11457,"tractors"
"Uppsala län","2005",11419,"tractors"
"Uppsala län","2006",11307,"tractors"
"Uppsala län","2007",12785,"tractors"
"Uppsala län","2008",12692,"tractors"
"Uppsala län","2009",12630,"tractors"
"Uppsala län","2010",12504,"tractors"
"Uppsala län","2011",12558,"tractors"
"Uppsala län","2012",12573,"tractors"
"Uppsala län","2013",12615,"tractors"
"Uppsala län","2014",12650,"tractors"
"Uppsala län","2015",12724,"tractors"
"Uppsala län","2016",12812,"tractors"
"Uppsala län","2017",12984,"tractors"
"Uppsala län","2018",13118,"tractors"
"Uppsala län","2019",13349,"tractors"
"Uppsala län","2020",13705,"tractors"
"Uppsala län","2021",14308,"tractors"
"Uppsala län","2022",14672,"tractors"
"Uppsala län","2002",0,"snowmobiles"
"Uppsala län","2003",0,"snowmobiles"
"Uppsala län","2004",0,"snowmobiles"
"Uppsala län","2005",0,"snowmobiles"
"Uppsala län","2006",0,"snowmobiles"
"Uppsala län","2007",0,"snowmobiles"
"Uppsala län","2008",0,"snowmobiles"
"Uppsala län","2009",2267,"snowmobiles"
"Uppsala län","2010",2507,"snowmobiles"
"Uppsala län","2011",2623,"snowmobiles"
"Uppsala län","2012",2847,"snowmobiles"
"Uppsala län","2013",3029,"snowmobiles"
"Uppsala län","2014",3118,"snowmobiles"
"Uppsala län","2015",3184,"snowmobiles"
"Uppsala län","2016",3226,"snowmobiles"
"Uppsala län","2017",3187,"snowmobiles"
"Uppsala län","2018",3220,"snowmobiles"
"Uppsala län","2019",3280,"snowmobiles"
"Uppsala län","2020",3282,"snowmobiles"
"Uppsala län","2021",3400,"snowmobiles"
"Uppsala län","2022",3458,"snowmobiles"
"Uppsala län","2002",0,"all-terrain vehicles"
"Uppsala län","2003",0,"all-terrain vehicles"
"Uppsala län","2004",0,"all-terrain vehicles"
"Uppsala län","2005",0,"all-terrain vehicles"
"Uppsala län","2006",0,"all-terrain vehicles"
"Uppsala län","2007",0,"all-terrain vehicles"
"Uppsala län","2008",0,"all-terrain vehicles"
"Uppsala län","2009",1725,"all-terrain vehicles"
"Uppsala län","2010",1849,"all-terrain vehicles"
"Uppsala län","2011",2007,"all-terrain vehicles"
"Uppsala län","2012",2212,"all-terrain vehicles"
"Uppsala län","2013",2394,"all-terrain vehicles"
"Uppsala län","2014",2514,"all-terrain vehicles"
"Uppsala län","2015",2736,"all-terrain vehicles"
"Uppsala län","2016",2884,"all-terrain vehicles"
"Uppsala län","2017",2969,"all-terrain vehicles"
"Uppsala län","2018",3060,"all-terrain vehicles"
"Uppsala län","2019",3148,"all-terrain vehicles"
"Uppsala län","2020",3175,"all-terrain vehicles"
"Uppsala län","2021",3237,"all-terrain vehicles"
"Uppsala län","2022",3271,"all-terrain vehicles"
"Uppsala län","2002",2549,"cross-country scooters"
"Uppsala län","2003",2541,"cross-country scooters"
"Uppsala län","2004",2732,"cross-country scooters"
"Uppsala län","2005",3036,"cross-country scooters"
"Uppsala län","2006",3287,"cross-country scooters"
"Uppsala län","2007",3878,"cross-country scooters"
"Uppsala län","2008",3959,"cross-country scooters"
"Uppsala län","2009",126,"cross-country scooters"
"Uppsala län","2010",134,"cross-country scooters"
"Uppsala län","2011",126,"cross-country scooters"
"Uppsala län","2012",127,"cross-country scooters"
"Uppsala län","2013",131,"cross-country scooters"
"Uppsala län","2014",130,"cross-country scooters"
"Uppsala län","2015",120,"cross-country scooters"
"Uppsala län","2016",120,"cross-country scooters"
"Uppsala län","2017",113,"cross-country scooters"
"Uppsala län","2018",109,"cross-country scooters"
"Uppsala län","2019",102,"cross-country scooters"
"Uppsala län","2020",90,"cross-country scooters"
"Uppsala län","2021",88,"cross-country scooters"
"Uppsala län","2022",78,"cross-country scooters"
"Uppsala län","2002",24591,"trailers"
"Uppsala län","2003",24765,"trailers"
"Uppsala län","2004",25495,"trailers"
"Uppsala län","2005",26744,"trailers"
"Uppsala län","2006",27114,"trailers"
"Uppsala län","2007",30903,"trailers"
"Uppsala län","2008",31932,"trailers"
"Uppsala län","2009",32959,"trailers"
"Uppsala län","2010",33742,"trailers"
"Uppsala län","2011",34835,"trailers"
"Uppsala län","2012",35884,"trailers"
"Uppsala län","2013",36822,"trailers"
"Uppsala län","2014",38294,"trailers"
"Uppsala län","2015",39803,"trailers"
"Uppsala län","2016",41309,"trailers"
"Uppsala län","2017",42794,"trailers"
"Uppsala län","2018",44154,"trailers"
"Uppsala län","2019",45266,"trailers"
"Uppsala län","2020",46868,"trailers"
"Uppsala län","2021",48418,"trailers"
"Uppsala län","2022",49369,"trailers"
"Södermanlands län","2002",120562,"passenger cars"
"Södermanlands län","2003",121929,"passenger cars"
"Södermanlands län","2004",122892,"passenger cars"
"Södermanlands län","2005",124188,"passenger cars"
"Södermanlands län","2006",125364,"passenger cars"
"Södermanlands län","2007",126857,"passenger cars"
"Södermanlands län","2008",126913,"passenger cars"
"Södermanlands län","2009",127483,"passenger cars"
"Södermanlands län","2010",128531,"passenger cars"
"Södermanlands län","2011",131103,"passenger cars"
"Södermanlands län","2012",132700,"passenger cars"
"Södermanlands län","2013",134518,"passenger cars"
"Södermanlands län","2014",137125,"passenger cars"
"Södermanlands län","2015",140155,"passenger cars"
"Södermanlands län","2016",143234,"passenger cars"
"Södermanlands län","2017",145197,"passenger cars"
"Södermanlands län","2018",146306,"passenger cars"
"Södermanlands län","2019",146310,"passenger cars"
"Södermanlands län","2020",147588,"passenger cars"
"Södermanlands län","2021",148645,"passenger cars"
"Södermanlands län","2022",148574,"passenger cars"
"Södermanlands län","2002",10014,"light lorries"
"Södermanlands län","2003",10463,"light lorries"
"Södermanlands län","2004",10953,"light lorries"
"Södermanlands län","2005",11455,"light lorries"
"Södermanlands län","2006",11932,"light lorries"
"Södermanlands län","2007",12225,"light lorries"
"Södermanlands län","2008",12322,"light lorries"
"Södermanlands län","2009",12495,"light lorries"
"Södermanlands län","2010",12709,"light lorries"
"Södermanlands län","2011",13175,"light lorries"
"Södermanlands län","2012",13280,"light lorries"
"Södermanlands län","2013",13597,"light lorries"
"Södermanlands län","2014",14026,"light lorries"
"Södermanlands län","2015",14641,"light lorries"
"Södermanlands län","2016",15153,"light lorries"
"Södermanlands län","2017",15704,"light lorries"
"Södermanlands län","2018",16086,"light lorries"
"Södermanlands län","2019",16228,"light lorries"
"Södermanlands län","2020",16604,"light lorries"
"Södermanlands län","2021",17001,"light lorries"
"Södermanlands län","2022",16716,"light lorries"
"Södermanlands län","2002",1823,"heavy lorries"
"Södermanlands län","2003",1798,"heavy lorries"
"Södermanlands län","2004",1753,"heavy lorries"
"Södermanlands län","2005",1786,"heavy lorries"
"Södermanlands län","2006",1825,"heavy lorries"
"Södermanlands län","2007",1820,"heavy lorries"
"Södermanlands län","2008",1773,"heavy lorries"
"Södermanlands län","2009",1743,"heavy lorries"
"Södermanlands län","2010",1722,"heavy lorries"
"Södermanlands län","2011",1785,"heavy lorries"
"Södermanlands län","2012",1757,"heavy lorries"
"Södermanlands län","2013",1776,"heavy lorries"
"Södermanlands län","2014",1860,"heavy lorries"
"Södermanlands län","2015",1894,"heavy lorries"
"Södermanlands län","2016",1925,"heavy lorries"
"Södermanlands län","2017",2006,"heavy lorries"
"Södermanlands län","2018",2010,"heavy lorries"
"Södermanlands län","2019",1954,"heavy lorries"
"Södermanlands län","2020",2019,"heavy lorries"
"Södermanlands län","2021",2006,"heavy lorries"
"Södermanlands län","2022",2009,"heavy lorries"
"Södermanlands län","2002",124,"towing vehicles"
"Södermanlands län","2003",130,"towing vehicles"
"Södermanlands län","2004",127,"towing vehicles"
"Södermanlands län","2005",135,"towing vehicles"
"Södermanlands län","2006",149,"towing vehicles"
"Södermanlands län","2007",164,"towing vehicles"
"Södermanlands län","2008",164,"towing vehicles"
"Södermanlands län","2009",167,"towing vehicles"
"Södermanlands län","2010",204,"towing vehicles"
"Södermanlands län","2011",208,"towing vehicles"
"Södermanlands län","2012",207,"towing vehicles"
"Södermanlands län","2013",202,"towing vehicles"
"Södermanlands län","2014",212,"towing vehicles"
"Södermanlands län","2015",197,"towing vehicles"
"Södermanlands län","2016",227,"towing vehicles"
"Södermanlands län","2017",282,"towing vehicles"
"Södermanlands län","2018",263,"towing vehicles"
"Södermanlands län","2019",265,"towing vehicles"
"Södermanlands län","2020",263,"towing vehicles"
"Södermanlands län","2021",249,"towing vehicles"
"Södermanlands län","2022",229,"towing vehicles"
"Södermanlands län","2002",487,"buses"
"Södermanlands län","2003",478,"buses"
"Södermanlands län","2004",387,"buses"
"Södermanlands län","2005",373,"buses"
"Södermanlands län","2006",367,"buses"
"Södermanlands län","2007",347,"buses"
"Södermanlands län","2008",346,"buses"
"Södermanlands län","2009",325,"buses"
"Södermanlands län","2010",327,"buses"
"Södermanlands län","2011",328,"buses"
"Södermanlands län","2012",275,"buses"
"Södermanlands län","2013",276,"buses"
"Södermanlands län","2014",276,"buses"
"Södermanlands län","2015",286,"buses"
"Södermanlands län","2016",314,"buses"
"Södermanlands län","2017",320,"buses"
"Södermanlands län","2018",303,"buses"
"Södermanlands län","2019",325,"buses"
"Södermanlands län","2020",293,"buses"
"Södermanlands län","2021",267,"buses"
"Södermanlands län","2022",266,"buses"
"Södermanlands län","2002",5859,"motorcycles"
"Södermanlands län","2003",6366,"motorcycles"
"Södermanlands län","2004",7038,"motorcycles"
"Södermanlands län","2005",7560,"motorcycles"
"Södermanlands län","2006",8121,"motorcycles"
"Södermanlands län","2007",8459,"motorcycles"
"Södermanlands län","2008",8972,"motorcycles"
"Södermanlands län","2009",9229,"motorcycles"
"Södermanlands län","2010",9155,"motorcycles"
"Södermanlands län","2011",9230,"motorcycles"
"Södermanlands län","2012",9232,"motorcycles"
"Södermanlands län","2013",9230,"motorcycles"
"Södermanlands län","2014",9212,"motorcycles"
"Södermanlands län","2015",9259,"motorcycles"
"Södermanlands län","2016",9358,"motorcycles"
"Södermanlands län","2017",9329,"motorcycles"
"Södermanlands län","2018",9292,"motorcycles"
"Södermanlands län","2019",9297,"motorcycles"
"Södermanlands län","2020",9518,"motorcycles"
"Södermanlands län","2021",9588,"motorcycles"
"Södermanlands län","2022",9608,"motorcycles"
"Södermanlands län","2002",568,"mopeds class 1"
