Ddate,Sales,Profit,Expenses
2013-06-01,80,25,19
2012-08-01,231,99,46
2013-08-01,53,9,15
2012-08-01,56,10,18
2012-01-01,82,32,25
2012-10-01,104,15,20
2012-11-01,64,28,18
2012-10-01,146,13,50
2012-02-01,119,62,31
2013-11-01,530,326,93
2012-02-01,57,9,23
2013-01-01,226,93,41
2012-07-01,174,24,47
2013-05-01,185,-56,49
2012-06-01,106,46,50
2012-04-01,185,55,46
2013-01-01,120,63,41
2013-05-01,592,299,125
2012-07-01,108,12,31
2012-02-01,305,137,88
2012-02-01,312,122,41
2012-08-01,73,22,19
2013-08-01,331,135,41
2013-06-01,296,135,37
2013-03-01,215,92,37
2012-02-01,39,26,20
2012-08-01,57,11,19
2013-05-01,161,64,47
2013-02-01,91,5,31
2012-10-01,178,80,42
2013-05-01,56,43,20
2012-06-01,132,61,50
2013-05-01,109,-7,71
2012-08-01,291,82,66
2012-02-01,57,30,20
2013-08-01,108,17,24
2013-09-01,233,51,57
2013-09-01,139,48,37
2012-05-01,96,25,22
2012-08-01,322,143,148
2013-12-01,77,32,34
2013-09-01,224,58,45
2013-09-01,130,46,39
2013-09-01,81,42,33
2012-08-01,516,105,108
2012-10-01,240,101,81
2013-05-01,167,62,48
2012-04-01,111,19,34
2013-04-01,119,59,39
2012-10-01,62,3,24
2012-04-01,146,22,51
2012-10-01,213,97,57
2012-08-01,76,23,41
2013-05-01,510,216,111
2013-01-01,234,75,54
2013-12-01,59,34,25
2012-08-01,309,83,62
2013-01-01,296,47,100
2013-08-01,333,85,72
2013-12-01,324,162,86
2012-12-01,102,9,41
2012-10-01,141,28,43
2012-09-01,77,-16,72
2012-02-01,250,80,51
2012-12-01,163,65,47
2013-09-01,100,31,47
2012-10-01,83,-5,38
2012-07-01,217,74,66
2012-05-01,119,15,51
2013-01-01,531,155,118
2012-05-01,93,27,52
2012-05-01,172,23,38
2012-02-01,209,86,74
2012-02-01,111,19,22
2012-01-01,80,41,52
2013-09-01,220,53,44
2013-10-01,588,221,119
2012-02-01,200,62,47
2013-01-01,190,74,46
2013-06-01,448,232,131
2013-04-01,216,161,62
2012-02-01,115,28,44
2013-05-01,508,272,98
2012-02-01,187,2,91
2013-12-01,221,68,37
2013-03-01,230,107,43
2013-05-01,122,41,35
2012-02-01,168,93,39
2012-01-01,122,15,52
2013-01-01,63,40,16
2013-05-01,100,-8,44
2012-08-01,125,24,69
2013-01-01,104,46,58
2012-01-01,107,9,49
2013-06-01,437,233,88
2012-02-01,61,25,24
2013-02-01,147,53,42
2012-10-01,107,26,23
2013-04-01,226,110,39
2012-08-01,281,27,146
2012-02-01,281,101,41
2013-07-01,60,30,19
2012-03-01,99,28,34
2013-05-01,94,36,22
2012-01-01,116,37,42
2012-08-01,204,42,57
2012-10-01,125,-16,61
2013-05-01,203,87,50
2012-09-01,221,7,120
2013-06-01,129,48,33
2012-10-01,52,-3,29
2012-10-01,89,-2,49
2013-01-01,357,125,105
2012-07-01,323,175,135
2012-02-01,129,26,48
2013-05-01,54,23,20
2013-07-01,62,23,12
2013-08-01,59,-3,23
2012-03-01,96,-14,25
2012-10-01,280,107,55
2012-10-01,302,138,47
2013-09-01,87,37,36
2012-08-01,318,113,47
2012-08-01,327,168,138
2013-01-01,201,57,60
2012-05-01,117,28,48
2013-05-01,44,49,12
2013-12-01,517,165,69
2013-10-01,214,56,45
2012-12-01,176,86,46
2013-10-01,546,157,121
2012-08-01,113,12,21
2013-12-01,637,386,139
2012-02-01,137,25,52
2013-05-01,137,57,55
2012-10-01,285,77,60
2012-08-01,286,80,59
2012-08-01,247,98,100
2012-12-01,76,22,34
2013-03-01,239,328,92
2012-10-01,184,14,62
2013-06-01,153,37,39
2013-05-01,58,32,21
2012-05-01,150,36,54
2013-05-01,86,16,18
2013-09-01,96,39,38
2012-02-01,190,13,109
2012-05-01,161,37,37
2012-06-01,70,36,44
2013-01-01,220,40,55
2012-09-01,131,-10,58
2012-05-01,120,38,43
2012-04-01,84,-9,50
2012-10-01,53,12,21
2012-01-01,134,32,25
2012-08-01,238,-2,152
2012-07-01,171,51,57
2012-07-01,143,70,54
2013-09-01,123,36,32
2013-01-01,386,90,109
2013-05-01,125,45,41
2012-05-01,109,13,35
2012-10-01,163,44,45
2012-07-01,152,25,55
2013-05-01,195,68,39
2012-02-01,161,63,36
2012-10-01,256,19,45
2013-01-01,247,72,59
2013-05-01,143,49,37
2012-05-01,198,42,59
2013-02-01,240,99,54
2012-07-01,181,95,60
2013-08-01,78,8,27
2012-01-01,143,32,46
2012-04-01,115,9,34
2012-03-01,167,2,74
2012-10-01,146,-3,67
2012-07-01,211,46,68
2013-02-01,157,68,54
2012-12-01,102,13,39
2013-05-01,172,42,40
2013-05-01,61,-17,70
2012-12-01,299,82,64
2013-04-01,42,43,21
2013-06-01,137,59,36
2012-02-01,194,35,59
2013-09-01,614,514,112
2013-09-01,145,71,54
2013-08-01,79,22,49
2013-01-01,134,56,39
2012-02-01,173,40,33
2012-06-01,179,30,120
2012-09-01,68,19,28
2012-11-01,137,17,46
2012-02-01,103,16,56
2012-02-01,117,2,56
2012-04-01,93,-11,41
2012-02-01,58,15,19
2012-02-01,178,-4,83
2012-11-01,70,19,29
2012-08-01,349,294,149
2012-01-01,160,8,62
2013-09-01,207,61,36
2013-11-01,88,10,27
2012-12-01,145,8,49
2012-01-01,225,92,93
2013-05-01,47,-521,42
2012-08-01,28,-4,11
2012-08-01,552,234,155
2013-08-01,72,14,22
2012-03-01,183,74,34
2013-08-01,80,21,18
2012-10-01,185,49,60
2013-09-01,506,162,114
2012-08-01,206,97,43
2012-08-01,120,5,44
2013-03-01,608,355,94
2013-04-01,130,56,46
2012-09-01,108,9,51
2012-07-01,124,-2,52
2012-05-01,190,26,44
2013-09-01,638,173,96
2012-08-01,243,6,93
2012-01-01,213,68,41
2013-10-01,303,156,34
2013-03-01,204,35,53
2013-02-01,202,87,53
2013-09-01,120,26,39
2013-05-01,107,41,22
2013-02-01,239,70,73
2012-02-01,219,88,82
2012-08-01,87,20,42
2013-10-01,231,123,60
2012-04-01,117,-8,54
2013-12-01,329,171,59
2013-08-01,87,17,32
2013-09-01,182,41,34
2012-12-01,317,159,46
2012-12-01,141,58,39
2012-01-01,266,138,62
2013-01-01,170,51,30
2012-12-01,233,56,45
2012-02-01,142,11,47
2012-05-01,111,28,20
2013-05-01,270,119,64
2013-01-01,158,-2,57
2012-03-01,151,28,35
2013-05-01,89,-25,67
2013-08-01,92,24,21
2012-02-01,265,172,42
2012-02-01,54,7,20
2012-10-01,95,-3,41
2012-06-01,58,26,21
2012-01-01,219,65,94
2012-10-01,54,6,21
2013-01-01,155,93,38
2013-11-01,149,-13,41
2012-05-01,131,36,48
2012-12-01,537,196,96
2012-07-01,518,147,109
2012-11-01,115,16,42
2012-04-01,167,41,38
2013-10-01,543,132,89
2012-01-01,228,14,64
2012-02-01,210,145,78
2012-08-01,163,16,44
2012-02-01,200,71,41
2012-02-01,196,71,38
2013-01-01,361,159,90
2012-05-01,113,32,34
2013-04-01,142,54,21
2013-10-01,228,147,57
2013-12-01,133,32,50
2013-02-01,196,57,40
2012-10-01,187,-1,61
2012-01-01,239,23,61
2012-04-01,256,122,55
2012-07-01,137,24,32
2012-10-01,503,182,43
2013-01-01,253,102,101
2013-01-01,77,24,23
2013-02-01,152,38,43
2013-11-01,134,-11,47
2013-11-01,586,199,112
2013-10-01,628,297,120
2013-09-01,138,41,53
2013-12-01,616,314,135
2012-04-01,131,19,43
2013-05-01,110,55,27
2012-08-01,57,4,18
2013-01-01,363,149,78
2012-08-01,331,139,64
2013-04-01,144,57,36
2012-12-01,62,8,32
2013-10-01,297,146,42
2012-08-01,109,9,42
2012-05-01,168,66,54
2012-07-01,199,33,65
2012-03-01,104,35,17
2012-05-01,117,14,40
2012-02-01,110,14,23
2013-05-01,631,214,107
2013-02-01,149,71,41
2012-08-01,92,26,42
2012-05-01,116,35,32
2013-02-01,230,140,52
2012-10-01,189,55,41
2012-04-01,148,40,41
2012-04-01,108,28,37
2012-10-01,110,4,29
2012-08-01,225,18,141
2012-08-01,328,165,56
2012-11-01,66,-5,26
2012-05-01,76,11,35
2012-03-01,171,33,64
2012-05-01,161,37,41
2012-03-01,115,30,37
2012-09-01,136,36,50
2012-04-01,62,-11,39
2013-11-01,87,20,46
2013-11-01,71,29,22
2012-04-01,121,36,37
2012-05-01,134,34,35
2012-07-01,69,18,36
2012-03-01,166,37,42
2012-02-01,117,-10,66
2012-12-01,127,67,42
2012-02-01,207,77,53
2012-02-01,182,76,35
2012-12-01,64,15,26
2012-04-01,185,36,50
2013-02-01,157,68,43
2012-11-01,283,114,101
2013-02-01,76,40,17
2013-01-01,296,130,92
2012-02-01,101,38,24
2012-12-01,105,49,38
2012-06-01,127,51,47
2012-10-01,259,37,43
2012-08-01,61,9,21
2012-04-01,53,19,31
2013-11-01,83,9,24
2012-01-01,195,64,38
2012-04-01,111,24,38
2013-07-01,221,-1,156
2013-11-01,119,-9,55
2013-05-01,323,183,35
2013-08-01,61,20,19
2012-10-01,223,62,55
2013-10-01,368,213,102
2012-07-01,126,20,33
2012-08-01,213,38,59
2013-03-01,327,144,42
2013-03-01,253,176,108
2013-01-01,230,77,117
2013-11-01,72,18,43
2013-05-01,158,56,36
2013-10-01,533,615,130
2012-04-01,187,37,43
2013-01-01,275,44,91
2012-02-01,148,49,37
2013-09-01,146,48,36
2012-05-01,452,158,88
2012-03-01,166,73,38
2012-11-01,43,-5,29
2013-07-01,530,362,117
2013-06-01,537,220,104
2013-03-01,303,412,48
2013-09-01,304,125,55
2012-07-01,77,5,34
2012-09-01,170,77,57
2013-09-01,172,36,43
2012-10-01,179,34,46
2012-02-01,117,40,44
2012-07-01,188,69,68
2013-10-01,605,183,119
2013-01-01,205,45,57
2013-08-01,55,17,17
2013-08-01,64,-261,29
2012-08-01,902,228,178
2012-08-01,100,17,24
2013-05-01,127,51,25
2013-09-01,227,109,46
2013-02-01,98,37,27
2013-09-01,157,91,52
2012-04-01,105,27,39
2012-10-01,87,14,19
2012-08-01,144,24,61
2012-01-01,123,33,25
2012-01-01,203,71,93
2013-12-01,612,189,145
2012-01-01,262,82,75
2013-03-01,272,168,84
2012-05-01,180,27,62
2012-12-01,184,77,42
2013-09-01,150,30,35
2013-05-01,260,42,114
2012-02-01,111,32,23
2012-08-01,302,84,148
2013-06-01,293,147,61
2013-09-01,344,547,59
2013-10-01,304,186,43
2012-08-01,59,14,15
2012-02-01,122,-2,37
2013-03-01,92,26,19
2013-12-01,303,141,68
2013-08-01,92,29,29
2013-01-01,292,55,56
2012-05-01,105,-1,51
2012-10-01,99,9,40
2013-05-01,43,25,14
2013-08-01,233,42,62
2013-01-01,158,48,57
2012-08-01,562,226,126
2012-09-01,81,26,29
2012-11-01,116,28,45
2013-02-01,140,62,53
2012-12-01,105,29,44
2012-02-01,54,31,28
2012-10-01,63,33,22
2012-10-01,110,6,40
2012-02-01,216,26,105
2012-03-01,205,15,108
2012-04-01,174,52,61
2012-02-01,120,14,55
2012-08-01,68,2,21
2013-08-01,66,2,23
2012-05-01,251,57,54
2012-09-01,141,0,66
2013-07-01,599,328,142
2013-09-01,102,29,40
2013-08-01,63,8,14
2012-02-01,148,-8,96
2013-11-01,328,347,124
2013-05-01,156,33,33
2012-08-01,232,43,83
2012-11-01,507,151,73
2012-01-01,83,3,24
2012-08-01,288,136,96
2013-08-01,73,0,17
2013-10-01,133,38,48
2013-05-01,267,32,130
2012-02-01,147,69,50
2012-02-01,143,29,44
2013-09-01,213,37,53
2012-01-01,103,15,51
2013-02-01,154,4,56
2012-05-01,122,15,53
2012-10-01,197,89,41
2013-01-01,97,20,26
2013-05-01,69,49,20
2012-07-01,202,7,72
2012-04-01,109,29,30
2013-08-01,69,23,42
2012-12-01,117,15,42
2012-10-01,97,22,38
2012-04-01,124,-2,58
2012-08-01,146,13,53
2012-02-01,48,-14,40
2012-12-01,209,104,46
2012-08-01,45,16,17
2012-10-01,311,104,57
2012-02-01,168,42,44
2012-10-01,43,-5,14
2012-02-01,227,93,85
2012-11-01,80,15,43
2013-03-01,217,85,67
2013-10-01,334,175,104
2013-05-01,135,-22,132
2013-03-01,222,58,38
2013-09-01,154,60,39
2012-08-01,199,33,49
2013-11-01,118,-6,45
2012-02-01,294,114,99
2012-02-01,125,41,25
2012-02-01,202,58,42
2012-01-01,278,137,41
2012-04-01,82,-10,39
2013-05-01,269,57,57
2012-12-01,81,22,36
2012-11-01,137,26,48
2013-11-01,298,127,36
2012-08-01,79,5,43
2013-03-01,188,53,49
2012-02-01,32,-16,37
2013-10-01,321,147,36
2012-02-01,120,10,39
2012-10-01,290,107,47
2012-12-01,122,17,45
2012-02-01,502,141,92
2012-10-01,100,13,24
2013-02-01,187,48,70
2013-02-01,220,21,90
2012-07-01,320,303,63
2013-04-01,189,70,40
2013-08-01,63,21,10
2012-08-01,111,10,49
2012-02-01,57,22,26
2012-05-01,179,54,60
2012-05-01,116,19,19
2012-10-01,269,101,92
2013-05-01,188,50,38
2012-01-01,131,17,42
2012-12-01,121,18,24
2013-01-01,109,31,32
2012-07-01,231,70,65
2013-01-01,332,73,73
2012-08-01,69,18,21
2013-01-01,434,108,95
2012-12-01,39,12,22
2012-01-01,263,117,54
2013-05-01,140,40,44
2012-07-01,198,5,78
2012-04-01,107,3,39
2013-09-01,86,46,36
2012-10-01,327,90,64
2012-08-01,86,33,42
2012-11-01,454,40,89
2013-03-01,259,78,39
2013-02-01,94,20,25
2013-01-01,228,86,45
2012-12-01,92,34,36
2013-09-01,125,27,51
2012-02-01,159,57,45
2012-08-01,83,31,24
2012-10-01,282,121,52
2012-04-01,175,38,55
2013-08-01,101,10,31
2013-09-01,99,38,36
2013-01-01,445,121,107
2012-08-01,73,10,18
2013-06-01,464,302,80
2013-01-01,155,51,46
2013-03-01,238,103,56
2012-08-01,277,41,60
2012-10-01,127,0,48
2012-12-01,230,29,47
2012-10-01,93,5,56
2012-08-01,305,138,143
2012-09-01,272,78,86
2012-01-01,321,73,91
2012-10-01,121,37,46
2012-02-01,196,58,80
2012-05-01,70,3,34
2012-01-01,54,16,26
2012-02-01,252,138,93
2012-01-01,205,73,87
2012-08-01,27,15,22
2013-11-01,80,-4,24
2012-01-01,77,20,25
2013-08-01,81,23,39
2012-02-01,210,91,37
2012-03-01,197,69,47
2012-06-01,109,-9,44
2013-01-01,240,125,56
2012-08-01,248,36,66
2012-11-01,75,1,25
2012-01-01,222,109,38
2013-02-01,77,13,36
2013-03-01,682,139,127
2013-08-01,81,10,18
2012-10-01,266,71,63
2012-11-01,127,11,46
2012-03-01,111,28,38
2013-10-01,22,21,17
2013-05-01,596,186,112
2012-02-01,114,40,34
2012-10-01,85,24,56
2013-11-01,67,8,28
2012-12-01,131,29,39
2012-10-01,92,12,48
2012-12-01,111,16,39
2012-02-01,222,95,77
2013-07-01,87,41,15
2013-10-01,336,174,37
2012-08-01,67,-2,18
2013-08-01,305,520,134
2012-04-01,169,38,39
2012-03-01,160,20,39
2012-12-01,199,123,45
2012-02-01,181,62,91
2012-10-01,45,4,12
2012-05-01,149,29,57
2013-02-01,150,38,40
2012-11-01,50,10,21
2013-08-01,258,133,46
2012-10-01,266,92,137
2012-03-01,174,81,53
2013-01-01,95,44,25
2012-07-01,287,105,101
2013-05-01,165,-8,70
2013-08-01,98,2,46
2012-09-01,74,-8,36
2012-10-01,68,16,20
2013-01-01,167,48,51
2013-09-01,71,38,13
2013-02-01,224,105,74
2012-01-01,262,100,86
2013-02-01,172,73,56
2012-12-01,273,148,140
2012-05-01,147,31,44
2013-08-01,76,47,22
2013-05-01,531,151,124
2012-02-01,75,21,21
2013-11-01,128,-3,39
2012-11-01,87,0,45
2012-01-01,120,1,39
2012-10-01,197,52,45
2012-05-01,86,17,29
2012-05-01,139,25,51
2013-11-01,89,36,23
2013-01-01,235,63,60
2013-02-01,191,51,34
2013-03-01,671,210,146
2013-08-01,68,24,16
2012-02-01,165,43,48
2012-01-01,129,-19,68
2012-03-01,117,1,39
2013-11-01,124,-6,49
2012-12-01,147,69,42
2012-08-01,81,23,39
2013-09-01,107,37,44
2013-01-01,146,60,59
2013-03-01,311,204,42
2012-05-01,120,16,39
2013-10-01,510,153,93
2013-08-01,332,109,147
2012-02-01,103,9,22
2012-01-01,191,91,40
2012-04-01,176,39,61
2012-02-01,104,24,24
2012-08-01,153,39,43
2013-05-01,508,205,121
2012-01-01,120,33,20
2012-05-01,48,13,18
2012-02-01,154,68,37
2013-01-01,230,88,57
2013-03-01,214,23,54
2013-06-01,173,31,36
2013-01-01,83,36,34
2013-05-01,74,45,16
2013-09-01,88,39,22
2012-04-01,72,14,40
2013-08-01,93,38,25
2013-08-01,59,22,25
2012-08-01,143,29,43
2013-05-01,189,107,39
2012-08-01,98,7,21
2012-02-01,199,135,37
2013-10-01,320,218,114
2013-02-01,92,36,23
2012-03-01,110,18,35
2012-01-01,468,147,38
2012-05-01,127,33,35
2012-12-01,202,46,43
2012-01-01,186,18,56
2013-05-01,107,54,21
2013-02-01,278,107,45
2012-02-01,110,17,23
2013-02-01,347,144,52
2012-05-01,152,32,40
2013-04-01,246,94,42
2012-03-01,86,23,29
2012-11-01,268,113,82
2013-07-01,45,27,11
2013-05-01,68,27,21
2012-01-01,260,111,59
2012-01-01,139,41,44
2013-08-01,391,177,54
2013-11-01,103,17,26
2012-02-01,47,-18,21
2013-08-01,97,41,34
2013-01-01,617,183,145
2013-10-01,346,105,52
2012-05-01,125,30,56
2013-03-01,247,75,77
2013-02-01,238,145,58
2013-11-01,93,36,23
2012-04-01,50,16,16
2013-11-01,122,20,26
2012-11-01,59,6,42
2012-02-01,210,103,117
2012-03-01,205,62,47
2013-01-01,230,65,60
2012-02-01,231,111,86
2012-01-01,127,24,43
2013-08-01,66,29,32
2012-05-01,289,127,61
2012-05-01,115,29,39
2012-08-01,331,140,56
2013-04-01,187,48,42
2012-12-01,133,30,47
2012-02-01,120,42,23
2012-12-01,152,36,42
2012-02-01,231,68,88
2013-01-01,262,116,94
2013-02-01,143,58,51
2012-03-01,268,70,59
2012-12-01,328,129,65
2012-08-01,360,202,142
2013-02-01,153,57,59
2012-10-01,110,-1,45
2013-02-01,159,24,29
2013-12-01,119,15,70
2013-09-01,137,55,41
2012-07-01,67,16,19
2012-01-01,192,33,102
2012-05-01,207,32,57
2013-12-01,125,-13,68
2013-05-01,478,225,106
2012-09-01,156,1,89
2013-02-01,110,-3,53
2012-02-01,108,24,24
2012-02-01,222,78,34
2012-02-01,195,64,35
2013-04-01,591,326,122
2012-02-01,53,23,19
2013-03-01,136,53,41
2012-09-01,243,29,54
2013-03-01,359,130,106
2013-05-01,183,46,64
2013-01-01,158,10,55
2013-05-01,504,199,107
2013-07-01,66,26,30
2012-10-01,81,5,18
2013-10-01,230,126,38
2012-11-01,212,55,60
2012-11-01,58,19,20
2012-05-01,119,26,55
2013-07-01,111,21,36
2012-10-01,291,46,69
2013-01-01,215,109,55
2013-09-01,105,19,32
2012-01-01,280,162,109
2012-04-01,141,9,37
2012-01-01,92,22,21
2013-07-01,117,33,34
2013-07-01,543,344,93
2013-01-01,490,113,83
2012-05-01,136,21,51
2012-02-01,149,26,45
2013-08-01,87,34,42
2013-10-01,596,183,121
2013-02-01,97,6,40
2012-05-01,131,30,36
2012-05-01,94,25,40
2012-05-01,125,40,45
2012-02-01,104,33,21
2012-02-01,198,87,33
2013-11-01,567,192,100
2013-09-01,132,39,36
2013-05-01,102,56,20
2012-02-01,139,1,58
2012-04-01,180,28,61
2012-08-01,601,150,141
2013-07-01,48,32,17
2012-10-01,138,34,42
2012-02-01,126,29,55
2013-02-01,153,75,43
2012-08-01,285,97,67
2012-02-01,102,35,47
2012-09-01,206,13,131
2012-08-01,152,19,47
2012-08-01,120,19,41
2012-08-01,120,10,37
2012-04-01,261,123,36
2012-12-01,136,84,60
2012-07-01,194,58,62
2012-02-01,179,20,108
2012-02-01,141,90,49
2012-05-01,74,26,34
2013-06-01,143,32,45
2013-08-01,55,10,15
2013-05-01,584,239,124
2013-09-01,524,178,102
2012-02-01,61,22,20
2012-05-01,74,12,38
2013-02-01,310,106,89
2012-02-01,101,10,51
2012-02-01,115,13,26
2013-02-01,197,111,75
2013-02-01,386,313,139
2012-10-01,187,40,62
2012-11-01,145,83,39
2013-01-01,287,87,84
2012-12-01,220,120,63
2012-06-01,48,2,33
2013-03-01,330,287,136
2012-05-01,275,57,53
2013-06-01,450,218,90
2012-05-01,189,123,46
2012-10-01,145,73,59
2013-06-01,569,147,64
2012-04-01,100,14,39
2012-11-01,147,28,46
2012-12-01,110,69,33
2013-05-01,103,32,41
2013-08-01,38,-9,25
2013-05-01,141,47,38
2012-11-01,129,24,22
2012-09-01,153,24,46
2012-04-01,106,20,35
2012-02-01,186,77,43
2013-05-01,172,43,64
2012-11-01,66,14,18
2012-10-01,314,92,69
2012-02-01,44,13,27
2013-05-01,118,47,21
2012-07-01,252,98,59
2013-08-01,56,15,18
2013-03-01,641,234,131
2013-02-01,172,39,44
2013-09-01,148,90,38
2012-09-01,137,-9,62
2012-08-01,192,22,142
2013-08-01,255,55,65
2013-09-01,286,99,50
2012-07-01,147,85,49
2012-05-01,131,49,45
2012-02-01,45,29,20
2012-03-01,439,147,140
2012-05-01,90,35,38
2013-05-01,61,30,16
2013-01-01,145,36,49
2013-01-01,191,123,38
2012-10-01,43,7,17
2012-05-01,519,305,95
2013-09-01,233,49,56
2013-02-01,94,60,20
2012-08-01,109,23,23
2012-06-01,205,62,63
2012-10-01,314,51,66
2012-05-01,176,38,58
2012-09-01,137,24,51
2012-02-01,188,61,103
2012-05-01,141,45,43
2013-09-01,157,51,54
2012-08-01,203,34,43
2013-08-01,68,11,21
2012-07-01,158,8,52
2012-02-01,120,18,23
2012-01-01,303,154,97
2013-08-01,306,71,74
2012-02-01,135,23,42
2013-05-01,44,25,20
2013-11-01,237,103,67
2013-02-01,230,87,50
2012-10-01,123,69,54
2013-05-01,612,289,129
2013-05-01,111,-17,83
2013-08-01,92,19,37
2012-02-01,277,97,49
2012-08-01,136,51,54
2012-02-01,126,4,51
2013-04-01,103,43,39
2012-07-01,220,87,68
2012-12-01,85,19,37
2012-07-01,321,224,48
2012-12-01,110,3,59
2012-08-01,599,165,142
2012-10-01,159,70,38
2013-02-01,265,130,97
2012-02-01,246,105,42
2012-07-01,278,86,59
2013-01-01,185,108,53
2013-08-01,107,40,44
2012-10-01,86,-17,49
2013-09-01,137,95,48
2013-08-01,333,121,43
2012-11-01,130,13,63
2012-07-01,584,321,138
2012-02-01,218,88,50
2012-11-01,96,24,22
2013-09-01,198,47,61
2012-02-01,196,124,58
2012-04-01,114,34,67
2012-02-01,152,28,46
2013-10-01,650,183,77
2013-05-01,103,37,42
2012-01-01,197,89,97
2012-08-01,98,20,41
2013-05-01,221,86,38
2013-05-01,124,41,47
2013-08-01,61,6,14
2012-10-01,180,55,43
2012-08-01,273,44,72
2012-05-01,206,88,56
2012-10-01,59,5,26
2012-01-01,206,94,45
2012-02-01,115,15,20
2013-01-01,312,167,87
2012-05-01,242,32,58
2012-02-01,116,3,62
2012-02-01,218,169,87
2013-12-01,313,166,57
2013-10-01,228,85,50
2013-12-01,86,24,20
2012-04-01,119,17,32
2013-05-01,163,35,38
2012-05-01,118,19,42
2013-01-01,390,125,81
2012-04-01,187,70,46
2013-09-01,157,37,54
2013-01-01,202,-129,129
2012-02-01,237,37,65
2012-02-01,204,122,33
2012-01-01,126,58,24
2012-01-01,242,222,120
2012-05-01,136,21,39
2013-01-01,229,48,46
2012-12-01,69,14,36
2012-08-01,25,-407,110
2013-05-01,127,-32,78
2013-10-01,314,199,49
2012-10-01,135,9,41
2013-02-01,215,135,58
2012-05-01,105,21,33
2012-05-01,108,30,17
2013-08-01,182,65,52
2012-01-01,83,21,22
2013-05-01,85,34,19
2013-08-01,42,25,17
2012-02-01,204,72,102
2012-02-01,192,79,40
2012-02-01,173,89,55
2012-05-01,148,40,58
2012-07-01,293,95,132
2013-10-01,107,35,18
2013-11-01,117,-17,46
2012-08-01,158,36,48
2012-10-01,165,63,48
2013-07-01,55,20,37
2013-01-01,215,117,46
2012-12-01,89,-2,47
2013-06-01,473,192,105
2013-08-01,145,38,49
2013-03-01,261,93,41
2012-07-01,152,15,71
2013-09-01,91,12,35
2012-02-01,113,56,44
2012-08-01,111,19,69
2012-03-01,107,6,95
2013-02-01,92,65,44
2013-01-01,209,76,42
2012-07-01,262,14,142
2012-02-01,303,133,78
2012-10-01,285,161,50
2012-10-01,187,38,58
2013-05-01,620,242,107
2013-10-01,246,127,37
